date,asset_0,asset_1,asset_2,asset_3,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2023-01-04,0.1748777,0.1748777,0.47536692,0.1748777,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-05,0.25,0.25,0.25,0.25,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-06,0.11327868,0.27087447,0.3079234,0.3079234,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-09,0.25,0.25,0.25,0.25,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-10,0.25,0.25,0.25,0.25,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-11,0.29692274,0.29692274,0.29692274,0.10923177,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-12,0.25,0.25,0.25,0.25,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-13,0.2200512,0.33984646,0.2200512,0.2200512,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-17,0.1344707,0.3655293,0.1344707,0.3655293,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-18,0.1344707,0.3655293,0.1344707,0.3655293,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-19,0.1748777,0.47536692,0.1748777,0.1748777,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-20,0.26778653,0.15518646,0.15518646,0.42184055,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-23,0.3884542,0.14290431,0.14290431,0.32573718,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-24,0.1748777,0.1748777,0.47536692,0.1748777,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-25,0.12395007,0.20218751,0.33693123,0.33693123,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-26,0.25,0.25,0.25,0.25,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-27,0.2945492,0.29792514,0.29792514,0.10960053,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-30,0.29528835,0.29528835,0.29528835,0.11413498,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-31,0.10923177,0.29692274,0.29692274,0.29692274,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
