date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2022-01-04,2.9739887714385986,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-05,23.457452874047878,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-06,15.264261780589143,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-07,20.074774998080727,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-10,10.896541418612744,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-11,32.31439190221799,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-12,21.212862447025962,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-13,26.691394095735397,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-14,38.37150973494302,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-18,47.510929467774965,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-19,49.649587071291094,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-20,40.32024776986038,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-21,34.467544930527204,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-24,17.63868796528886,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-25,31.3019606371713,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-26,20.344116871755716,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-27,7.250100401692385,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-28,38.64115957429575,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-31,47.65315679459356,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-01,26.941475173149357,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-02,33.72795519603661,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-03,25.516785632362257,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-04,32.163584199984285,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-07,35.69808297964328,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-08,51.24680628330335,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-09,79.51172097478815,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-10,24.49639680208694,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-11,59.114416715793645,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-14,38.623165510326636,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-15,26.588627094303217,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-16,26.304921171664304,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-17,82.5072162464074,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-18,66.95851133056473,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-22,35.306951071286,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-23,48.00965865114367,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-24,46.46638975791965,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-25,21.17060714667622,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-28,69.77947012845964,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-01,25.316403338485276,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-02,42.04006621965465,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-03,57.03443910387301,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-04,35.11003309968691,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-07,36.652974711815254,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-08,33.90220180817733,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-09,39.052388848534314,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-10,12.908110986214743,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-11,87.80255993051587,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-14,27.524607827240583,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-15,54.955992241446715,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-16,41.21814020111712,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-17,73.29351761551561,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-18,93.45856183301946,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
