date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2019-01-03,693.1758422851562,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-04,0.0,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-07,0.0,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-08,0.0,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-09,0.0,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-10,575.8440102826173,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-11,357.0987901033796,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-14,318.883749252911,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-15,607.4515838252988,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-16,890.0964382246239,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-17,549.1389693298069,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-18,179.50553848320084,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-22,88.53151450944881,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-23,475.4787750216296,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-24,0.0,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-25,643.262652029,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-28,397.10588009855854,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-29,661.0886161928144,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-30,429.2387862647267,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-31,334.52124219492913,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-01,494.8325781401976,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-04,485.00636070400924,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-05,699.137019873257,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-06,734.8777033825896,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-07,805.4689741181768,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-08,1065.8311436848958,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-11,1140.5547275998842,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-12,699.0146035212091,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-13,678.9916607224058,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
