iteration,train_start_date,train_end_date,test_start_date,test_end_date,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown
0,2010-01-01,2018-12-31,2019-01-01,2019-12-31,0.012186491245132602,0.04358482467623424,-0.2758900593337765,-0.39922183867616706,-0.04181978079894305
1,2011-01-01,2019-12-31,2020-01-01,2020-12-31,0.04639056008729181,0.05907735922592676,0.3754306094042029,0.47032149650930827,-0.0460885765909748
2,2012-01-01,2020-12-31,2021-01-01,2021-12-31,-0.03196805784670198,0.046735422587207816,-1.202068278145626,-1.8028880321834442,-0.039031051481309524
3,2013-01-01,2021-12-31,2022-01-01,2022-12-31,-0.1631616447820071,0.08590394158080895,-2.181189273100567,-3.740564757756617,-0.20281717282222284
4,2014-01-01,2022-12-31,2023-01-01,2023-12-31,-0.012241005232759394,0.05973142112956298,-0.6102670195105937,-1.027868984541676,-0.09950480500737416
5,2015-01-01,2023-12-31,2024-01-01,2024-12-31,0.020210899451798214,0.061738355720401615,-0.06479297371360052,-0.09571554791412676,-0.040572168809967016
