seed,test_period,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,final_portfolio_value,cumulative_trading_days
0,2019-01-01 to 2024-12-31,-0.045619656892508464,-0.007787879633763151,0.09417026339841658,-0.3397993123316708,-0.5746634721730971,-0.24049126528992765,954624.7852700317,1505
25,2019-01-01 to 2024-12-31,0.018320159899797517,0.0030444259674171636,0.10251812616133972,-0.20646773342679425,-0.43055360331535586,-0.2525602784405164,1019967.9072339202,1505
50,2019-01-01 to 2024-12-31,-0.006639722349826349,-0.001114852885670481,0.0999679718304681,-0.2533407803824503,-0.3966691685272846,-0.22862152056814272,993924.6800014414,1505
75,2019-01-01 to 2024-12-31,0.07073657596039662,0.011509849821170315,0.1096508152998538,-0.11583371500893651,-0.2435218121321503,-0.23577348867935247,1072469.1384766488,1505
100,2019-01-01 to 2024-12-31,-0.020577932474571736,-0.0034754994375807424,0.08578797565220626,-0.3227329976981433,-0.4812602017705499,-0.21772095237140368,981014.9789102032,1505
