date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,a2c_mean,a2c_sd
2019-04-10,1024793.4623813848,1031522.2426457268,1024760.637129364,1033900.7717985442,1032450.854736162,1029485.5937382362,3918.566587110684
2019-04-11,1026731.9486932602,1033431.4341360878,1026621.949252322,1035933.6776234272,1034422.6602064132,1031428.3339823021,3960.6537349997657
2019-04-12,1021677.0200389966,1028250.6459977342,1021610.1734398156,1030747.7735659874,1029336.761603867,1026324.47492928,3903.15391229008
2019-04-15,1020246.7301207044,1026895.0025419196,1020616.5806050736,1029677.2370757462,1028366.0914048894,1025160.3283496667,3961.7563499384473
2019-04-16,1019924.1476527784,1026754.6610011642,1020534.3954775004,1029388.9155058656,1028264.363716174,1024973.2966706965,3967.362360089934
2019-04-17,1017039.679255692,1023738.7268468152,1017741.7295093248,1026314.9705161564,1025103.1228884092,1021987.6458032796,3847.295143109978
2019-04-18,1016113.238371684,1022699.8854137716,1016426.3090826196,1025098.171707768,1023964.409387212,1020860.4027926112,3825.5456002889287
2019-04-22,1017660.1936082244,1024435.8669099252,1018109.7336506044,1026825.616361688,1025768.4149728364,1022559.9651006557,3894.13044204048
2019-04-23,1016911.294221706,1023604.1923504228,1017117.0452892282,1025966.9552405436,1024949.647725518,1021709.8269654836,3907.11555851562
2019-04-24,1018666.7069204312,1025727.5601214438,1018947.1707275066,1027789.104904667,1027126.4884918896,1023651.4062331878,4012.087259767223
2019-04-25,1019937.943265476,1026813.4387036024,1019631.7599137812,1028631.6445656188,1028081.046370755,1024619.1665638468,3992.1798155348283
2019-04-26,1020523.2769023004,1027359.8345683378,1020232.2968305384,1029328.7413408412,1028909.5525008632,1025270.7404285762,4049.6163484971703
2019-04-29,1023001.0504792612,1030301.1586754158,1022975.0961402652,1032169.6936322548,1031946.7890405832,1028078.7575935561,4206.351418627164
2019-04-30,1021057.5037915468,1028285.9116011056,1021047.829250612,1029750.251847367,1029876.9691236792,1026003.6931228621,4081.0014961672696
2019-05-01,1022997.600345624,1030520.1138453276,1023044.2285309744,1031664.4383842412,1032102.097633604,1028065.6957479542,4151.3463107706275
2019-05-02,1021064.3452975414,1028263.7940468944,1020907.67272859,1029572.8580820912,1029970.3291998574,1025955.7998709949,4097.2260967827415
2019-05-03,1018502.8059603235,1025817.470308284,1018558.3352643098,1027104.8893554076,1027574.3808191174,1023511.5763414884,4107.500542311144
2019-05-06,1022707.7968481923,1030050.1582263964,1023312.7954479532,1031544.1194928891,1032152.812901363,1027953.5365833588,4098.201878730877
2019-05-07,1022553.8800895324,1030022.5877727226,1023425.5143619052,1031574.062921728,1032349.5563328714,1027985.1202957518,4156.163164843155
2019-05-08,1022630.8280287532,1030613.3642183692,1023949.7968650784,1031478.7373624892,1032208.7592094996,1028176.297136838,4042.8131281879423
2019-05-09,1021169.4862487444,1029026.1119890056,1022441.490931198,1030084.831342668,1030724.8665304956,1026689.3574084224,4044.4615540297937
2019-05-10,1022121.9309610438,1030201.0700577304,1023476.1176002182,1031209.4963014938,1031883.6728045996,1027778.4575450171,4123.112723623232
2019-05-13,1022704.9035815882,1030821.521485044,1024192.0345742772,1031923.2463088208,1032715.0921132214,1028471.3596125903,4171.634837045902
2019-05-14,1022386.1929015698,1030245.24479165,1021511.3055492532,1030840.7139597972,1031933.4090028964,1027383.3732410334,4478.8241620776525
2019-05-15,1022853.0779150232,1030882.9089647254,1021775.981734936,1031062.8851632216,1032404.60062824,1027795.8908812292,4519.155761137588
2019-05-16,1024597.9313160052,1032927.4524128888,1023399.1194420428,1033596.1141996444,1034604.5111764648,1029825.0257094093,4802.17509751526
2019-05-17,1023320.348635667,1032030.2781198586,1022116.403905701,1032663.8466140062,1033480.5221599542,1028722.2798870376,4938.3829099128625
2019-05-20,1020314.8825653436,1028976.3297742537,1019578.9564053236,1029692.4065670294,1030665.7968070776,1025845.6744238057,4851.666604364245
2019-05-21,1018386.8251588204,1026882.7448298722,1017750.5343809694,1027678.7478471076,1028858.7424750252,1023911.5189383589,4816.122709091206
2019-05-22,1018228.7748326564,1026993.5869978892,1017682.5127848178,1027633.9380514092,1028875.8057846772,1023882.92369029,4880.362717257729
2019-05-23,1018936.1991088812,1027674.813485943,1018073.3651677612,1028372.9898672906,1029583.745177058,1024528.2225613868,4963.415946019944
2019-05-24,1021352.8027185772,1030302.4404932342,1019113.403808548,1030921.629897458,1031520.8277446296,1026642.2209324895,5294.759391647415
2019-05-28,1022661.8263022784,1031810.4477307164,1020372.6971918576,1032399.2859229222,1033018.0891238856,1028052.469254332,5398.379913201639
2019-05-29,1021488.8971622556,1030505.2840188468,1018278.2495692417,1030395.0830081928,1031323.7902819896,1026398.2608081053,5424.748876717662
2019-05-30,1020296.970107713,1029235.5769224906,1016941.7823942718,1029059.424281418,1030041.1025226848,1025114.9712457156,5418.8379052971495
2019-05-31,1024080.7057799632,1032951.2407053428,1021046.4449482114,1033239.8770511616,1034035.0787704872,1029070.6694510333,5410.62660833491
2019-06-03,1028339.2488262572,1037613.9586948552,1026103.4445094386,1038373.648247186,1038390.2472801984,1033764.1095115871,5396.02146907237
2019-06-04,1032394.4609616732,1041776.6775124985,1030074.8212534924,1042153.457736337,1042791.73016951,1037838.2295267023,5451.1440975723335
2019-06-05,1034676.107074911,1043148.968454214,1031833.5099058172,1044558.0663412724,1046420.2340392238,1040127.3771630877,5776.948118917116
2019-06-06,1034761.4500629714,1043469.4976037462,1032574.6094410372,1045480.7944020703,1047514.7130814936,1040760.2129182639,5970.538427775816
2019-06-07,1037392.4640549232,1045690.7372727868,1034712.8432130994,1047691.4012035972,1049836.4973702568,1043064.7886229327,5934.432538592035
2019-06-10,1042820.5835919584,1051137.3400396565,1040315.9136293316,1053283.63444407,1055642.9976164408,1048640.0938642914,5999.967415447829
2019-06-11,1039171.3645537088,1047062.6249151928,1036830.087904152,1050074.150942726,1052525.2336747055,1045132.692398097,6119.852770228144
