date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2020-01-03,15.370107650756836,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-06,22.09941856548523,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-07,24.0074750038503,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-08,25.404749146920118,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-09,22.817897804956914,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-10,20.1901984990091,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-13,27.965304438505655,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-14,23.01467465483486,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-15,18.10302347628113,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-16,24.164145154256214,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-17,23.87095413457713,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-21,21.425909767373696,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-22,33.85889520443783,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-23,81.6884947216064,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-24,38.28380986307519,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-27,63.56865908996034,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-28,74.13031998253642,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-29,42.987022150973104,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-30,27.304701570139674,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-31,52.10876971667987,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-03,129.6482867247651,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-04,155.56055546149736,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-05,118.70550882754289,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-06,22.74757529155952,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-07,85.83142670582517,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-10,66.08130405356174,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
