date,SPY_mean,SPY_sd,TLT_mean,TLT_sd,GLD_mean,GLD_sd,FXY_mean,FXY_sd,diversification_ratio
2019-01-03,0.1969960672,0.09881522659191067,0.28757842200000006,0.07110165613465358,0.234779272,0.1072745421208591,0.28064624400000004,0.08884476986357542,1.978773112178097
2019-01-04,0.22476564599999999,0.1094240093215871,0.29849988199999994,0.0762508666404502,0.20726039599999999,0.10053918184749977,0.269474064,0.08994342170462012,1.979538642200857
2019-01-07,0.20108283999999998,0.10038220111263974,0.355485712,0.01975951609299984,0.17700564400000002,0.1056230650126225,0.266425808,0.11653755353023557,1.927651587780483
2019-01-08,0.24145102000000002,0.10258479428793577,0.294837526,0.09158372966547951,0.17099933579999999,0.10933841175713786,0.29271212799999996,0.09380607317390102,1.9605999482823866
2019-01-09,0.23948027600000002,0.11936318439179783,0.23407307000000005,0.11802337897297935,0.20240936399999998,0.15171846605914993,0.324037288,0.08203376558121765,1.9683257704400845
2019-01-10,0.26115644600000004,0.1285505978971585,0.30938174799999996,0.10510882772468053,0.20313101600000003,0.10333818099244503,0.22633078,0.10759879904668268,1.9748520261975357
2019-01-11,0.20812430799999998,0.1154086119513014,0.33803078,0.03761612663461312,0.1619629928,0.07623489666221507,0.291881948,0.09445345403874689,1.9280474715759024
2019-01-14,0.31304459199999995,0.04679308214751589,0.270800544,0.08795075045980381,0.18577459300000002,0.08243190125209397,0.230380274,0.10673815512207939,1.9652581972999377
2019-01-15,0.25870867999999997,0.10044349787759482,0.13489549,0.02730699873546798,0.355615266,0.07478600928641252,0.250780576,0.08723515487231584,1.9087303637708244
2019-01-16,0.317646714,0.11703215889835229,0.25315692,0.0967434021998366,0.17706675,0.10429724608540175,0.252129626,0.09336327551085079,1.9615014821314873
2019-01-17,0.319253846,0.11909581271291796,0.21318769399999998,0.10280928466011366,0.29872454800000003,0.07948150838699823,0.16883392,0.07197524600584462,1.9421567523653525
2019-01-18,0.26630626199999996,0.10892824996472136,0.14296658,0.03486076347870124,0.370600846,0.05789695722054812,0.22012628799999998,0.10524106029571785,1.899483244785009
2019-01-22,0.21115378680000002,0.10260593787772061,0.27751243,0.1475536147313774,0.29712668799999997,0.07187693490751064,0.21420710399999998,0.0948568317124712,1.9773196436873333
2019-01-23,0.20298120800000002,0.10892038192834697,0.292763762,0.09425225566731822,0.25300171600000004,0.1209182513212986,0.251253306,0.09765456735841356,1.9839938691101306
2019-01-24,0.22878941,0.1477725329053106,0.206229884,0.06568149152398019,0.252441462,0.08186215730066135,0.312539236,0.11448414755978,1.9753326640568667
2019-01-25,0.23929756600000002,0.1005196733678551,0.23067717399999998,0.07328681986332591,0.29939130599999997,0.13595850345464303,0.23063395,0.07335763876466649,1.9869196156627378
2019-01-28,0.168691574,0.053371652020092836,0.252441488,0.08186219866932919,0.372637176,0.10238392850185953,0.20622976799999998,0.06568164994027724,1.9118930618001593
2019-01-29,0.26756967800000003,0.14169874737114976,0.29998145,0.07788188151252061,0.13246743200000002,0.026855808223972138,0.29998145,0.07788188151252061,1.927648789156768
2019-01-30,0.21884626799999998,0.11640773669428386,0.357480812,0.017996463173015977,0.131509838,0.006620532180970801,0.292163078,0.10595868574672734,1.8954482683509295
2019-01-31,0.32541701319999994,0.13651811910628803,0.253929222,0.09324590837552564,0.17114088200000002,0.07416428366578025,0.24951288999999996,0.08946519199321515,1.9539519348525587
2019-02-01,0.40393490200000004,0.09768528156458024,0.18613838200000002,0.06813960086682576,0.186137528,0.0681361642051761,0.22378920400000002,0.0667544816495202,1.881309615457387
2019-02-04,0.339888924,0.1479530053428354,0.265948838,0.09540729834619163,0.21985629199999995,0.0915763164271591,0.17430593,0.04659412211378384,1.9426720867157192
2019-02-05,0.21958589599999997,0.1063697172003293,0.224435574,0.11899730726639944,0.276817064,0.14552676177176926,0.279161438,0.09157252374766964,1.9875252835349895
2019-02-06,0.289448028,0.13924393275757377,0.19180278799999997,0.10106228037606796,0.243236296,0.14586591471416646,0.275512878,0.09606225184086578,1.977815771976738
2019-02-07,0.35471078,0.023667887413929667,0.22302392599999998,0.13033623917345313,0.25217259,0.11575378412015262,0.1700927,0.0795404230730039,1.9313732442166
2019-02-08,0.178076074,0.07208657815499622,0.224287994,0.10409782292351066,0.38202167600000003,0.08969722164757325,0.215614268,0.07603504255037358,1.9088479775038776
2019-02-11,0.168691574,0.053371652020092836,0.252441488,0.08186219866932919,0.372637176,0.10238392850185953,0.20622976799999998,0.06568164994027724,1.9118930618001593
2019-02-12,0.1499118548,0.05703889769893405,0.300992594,0.06291939032364809,0.320052592,0.04826165024068252,0.22904298,0.08880489623643481,1.9317966782510356
2019-02-13,0.16856022999999998,0.053353422035399,0.372280138,0.1019382453613923,0.252312148,0.08201576781929996,0.20684749,0.06532666075482813,1.91231383709792
2019-02-14,0.20852982,0.11499332903014765,0.339187012,0.03612302814174526,0.205519578,0.11304097937637582,0.24676358599999998,0.10599382806992812,1.954919030404057
2019-02-15,0.149436715,0.05724630524180841,0.302416886,0.06206585974988327,0.32027277199999993,0.048984334872073855,0.22787364000000002,0.08921583617371273,1.9306302168552107
2019-02-19,0.19974351800000004,0.07383744540476005,0.354996032,0.10297195229773262,0.19974011,0.07383990757284573,0.245520346,0.05393744324220681,1.9385670348574433
2019-02-20,0.167786978,0.07221122650377447,0.354052932,0.03230448615035874,0.222672224,0.13089372044456002,0.255487876,0.11326632297389229,1.9303619468512403
