metric,mean,std,min,max
cumulative_return,-0.5545117644760189,0.0,-0.5545117644760189,-0.5545117644760189
annualized_return,-0.12662554221662292,0.0,-0.12662554221662292,-0.12662554221662292
annualized_volatility,0.13484203815110324,0.0,0.13484203815110324,0.13484203815110324
sharpe_ratio,-1.1186174237347801,0.0,-1.1186174237347801,-1.1186174237347801
sortino_ratio,-1.5769748164411623,0.0,-1.5769748164411623,-1.5769748164411623
max_drawdown,-0.6070755073851054,0.0,-0.6070755073851054,-0.6070755073851054
final_portfolio_value,446620.25148878375,0.0,446620.25148878375,446620.25148878375
