date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,ddpg_mean,ddpg_sd
2019-01-28,1007723.3448287091,1007433.70903555,1007492.6143740648,1002373.2610764772,1003284.1695900006,1005661.4197809605,2332.771908205728
2019-01-29,1006434.6014839312,1005802.8333912208,1004039.7340640312,1001482.53834181,1000455.9001901835,1003643.1214942355,2342.6701321747646
2019-01-30,1007952.8841638572,1005561.4121860226,1005301.6894978707,1003296.482595073,1001675.7175405136,1004757.6371966675,2134.7061557994834
2019-01-31,1010588.5924313684,1009902.9479687184,1008647.7097953536,1005554.2947047628,1006077.3100626247,1008154.1709925656,2014.9896892081856
2019-02-01,1014853.3678437532,1013179.3933678844,1011310.1573261528,1008012.6538673688,1009897.1754695952,1011450.549574951,2400.8282329972244
2019-02-04,1011697.5312415408,1008797.1788468736,1006830.2117519836,1004487.162430754,1006257.8014788976,1007613.97715001,2461.9444028058447
2019-02-05,1009634.8003863378,1008036.1328751486,1005165.9641196744,1001765.2745060826,1004762.8797049016,1005873.010318429,2736.2734337307393
2019-02-06,1011708.1391330377,1009833.1284754712,1006496.1261851724,1003008.5599078664,1006437.3372540544,1007496.6581911203,3015.357904347895
2019-02-07,1009918.3569148964,1006742.0481653968,1003236.8330442284,1000168.324599182,1003888.7568738216,1004790.8639195052,3307.4154027071063
2019-02-08,1011638.8389569796,1006835.159776516,1004579.7877584068,1001391.7169530102,1005318.370367187,1005952.77476242,3352.6329929895974
2019-02-11,1014218.1944191108,1009005.4980177308,1006547.67455992,1003802.5121038092,1008137.2698914782,1008342.2297984097,3430.4040219368208
2019-02-12,1011448.8023107094,1005689.599823958,1002770.0761182224,1000049.454456426,1004693.4995850212,1004930.2864588674,3784.5132704915186
2019-02-13,1012052.5274324552,1007992.9053173942,1003739.7687190762,1000982.174003608,1005215.3899489924,1005996.5530843051,3781.7333756905314
2019-02-14,1008933.778576088,1005897.260293838,1000589.9732804244,998243.4802875028,1002112.68459298,1003155.4354061667,3813.2160119463197
2019-02-15,1011371.2908909954,1008308.8788176564,1003056.9310380784,1001747.6541609192,1006007.7348167768,1006098.4979448853,3489.336265874759
2019-02-19,1014073.7992155288,1012590.97362359,1008008.1893938947,1004411.0987233152,1009751.856587534,1009767.1835087726,3414.752374562973
2019-02-20,1017455.7689931196,1016864.7705038846,1010979.869826302,1009744.0846994844,1015564.5289630168,1014121.8045971615,3154.5782526876064
2019-02-21,1015433.7488227464,1015622.7047959738,1009729.5164214452,1008258.9455737974,1014070.9077836932,1012623.1646795312,3046.70946682699
2019-02-22,1008553.1675650585,1008261.7109213944,1004282.208522485,1001429.410459704,1007201.8247048898,1005945.6644347064,2716.7892103110307
2019-02-25,1011790.7372929644,1011453.8312521012,1007972.7185706664,1004969.5975148872,1011118.2860936894,1009461.0341448619,2628.0535512148012
2019-02-26,1009415.657453232,1009422.6341782736,1005801.0406219302,1002681.5473421174,1009512.4219289798,1007366.6603049065,2736.097925695539
2019-02-27,1012089.144754068,1010527.8345423932,1008305.4278152724,1005581.1785676436,1012116.8490491556,1009724.0869457066,2495.6403056995705
2019-02-28,1005155.7407756208,1004845.8533760146,1001805.7082934123,998651.9644171816,1006163.0126654196,1003324.4559055297,2751.887717031244
2019-03-01,1001460.0412507046,1001103.981949842,997998.0467752136,994998.1048015913,1002779.0722462814,999667.8494047265,2812.432802745063
2019-03-04,994087.597210334,993144.1444105288,992692.5204378716,986825.0897730154,994234.2381714212,992196.7180006342,2746.806848204911
2019-03-05,996370.741240878,991802.0595079578,991766.7092094696,987533.709838444,995708.4258171103,992636.3291227719,3189.7517179815645
2019-03-06,996339.4049334908,991633.8342125332,991691.8372113068,987623.5597692442,996411.1977827146,992739.966781858,3314.622682761624
2019-03-07,996475.255697092,991240.4769282234,991591.4191175192,987804.1835136034,994202.0138209196,992262.6698154714,2928.4975971881413
2019-03-08,997759.3323067856,988006.5063579052,989388.3405890408,984699.9298082412,992152.2278287932,990401.2673781533,4392.564925051578
2019-03-11,1001423.6261868972,990880.8857083704,993726.5962711328,988886.4874097414,995511.0053333356,994085.7201818954,4319.913371959514
2019-03-12,999989.6278760568,993379.8542537658,992795.222130102,987967.5132650244,995019.6437506736,993830.3722551245,3872.9424029487445
2019-03-13,1004391.7844862232,997587.764264288,994912.6683793511,989543.5392962112,997316.8339511954,996750.5180754538,4790.1749830691015
2019-03-14,1006809.1700753298,1001285.1781783848,996892.1458971208,990568.6639967496,998169.78299781,998744.9882290789,5331.036626122704
2019-03-15,1002060.3477061476,996816.6059519876,990597.9210311436,984896.5989695037,993545.3481046644,993583.3643526894,5773.860197442082
2019-03-18,1005668.4379743958,1000400.3466339958,994669.9191533482,987998.7124630468,996232.013882648,996993.8860214868,5894.84934489247
2019-03-19,1005938.2903741983,1000932.4354648966,994637.5664144811,987592.1026035162,995954.7924782456,997011.0374670675,6173.144401404416
2019-03-20,1005260.9709593428,1001589.9560791476,994670.409430563,987727.0627759544,995549.6449717795,996959.6088433575,6046.834997949256
2019-03-21,1009566.5556140364,1005944.7392664888,998182.8518924472,992665.4546011592,1001083.114730618,1001488.5432209499,5900.014027643094
2019-03-22,1010010.0949261736,1005871.3588634155,997564.2908397584,992369.3185618176,1001566.3152878232,1001476.2756957976,6170.757288845095
2019-03-25,1014323.4479955656,1001579.6571428246,994419.0762123588,996681.0594126586,1006001.5108105151,1002600.9503147847,7099.46442240754
2019-03-26,1015261.52745987,1003661.7403568268,996585.3168471176,998610.25799746,1008810.6524510576,1004585.8990224665,6817.466598516169
2019-03-27,1014230.3854739968,1001866.6245737775,995018.901517308,997568.686870625,1007226.282295729,1003182.1761462872,6903.603614821533
2019-03-28,1015962.5555024056,1000434.8194968412,995401.6749776334,997771.3129514012,1008021.206334064,1003518.3138524691,7530.617164155635
2019-03-29,1015732.855221767,994914.701851698,992974.0366966408,996463.81564393,1002657.7420783964,1000548.6302984863,8256.032555164269
