date,turnover,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2022-01-04,0.3870301,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-05,0.20416212,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-06,0.18366417,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-07,0.3829633,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-10,0.46673918,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-11,0.38130322,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-12,0.76260644,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-13,0.2901181,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-14,0.36647677,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-18,0.5620715,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-19,0.3854189,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-20,0.3854189,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-21,0.30604917,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-24,0.27860707,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-25,0.4507338,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-26,0.34988883,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-27,0.03691131,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-28,0.37241724,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-31,0.38130322,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-01,0.32490408,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-02,0.61789405,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-03,0.3848831,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-04,0.620491,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-07,0.55793965,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-08,0.20884457,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-09,0.32490408,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-10,0.32490408,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-11,0.4621172,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-14,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-15,0.32490408,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-16,0.31947428,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-17,0.3556838,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-18,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-22,0.60097843,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-23,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-24,0.49890584,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-25,0.14451595,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-28,0.016770378,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-01,0.14183232,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-02,0.2823426,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-03,0.32534075,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-04,0.4881802,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-07,0.38130322,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-08,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-09,0.38130322,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-10,0.38130322,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-11,0.5452696,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-14,0.18096235,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-15,0.4881802,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-16,0.4881802,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-17,0.32490408,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-18,0.3551712,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-21,0.44677845,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-22,0.7117592,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-23,0.41743332,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-24,0.36828235,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-25,0.4621172,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-28,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-29,0.4507338,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-30,0.46430713,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-31,0.2679631,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-01,0.4881802,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-04,0.6220212,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-05,0.43828392,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-06,0.63903344,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-07,0.64980817,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-08,0.31953937,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-11,0.39056855,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-12,0.5025701,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-13,0.4795082,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-14,0.6405823,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-18,0.6404571,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-19,0.1412422,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-20,0.27998793,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-21,0.42789748,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-22,0.38799524,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-25,0.32490408,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-26,0.64980817,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-27,0.4621172,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-28,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-29,0.32490408,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-02,0.4881802,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-03,0.60097843,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-04,0.38130322,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-05,0.119739115,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-06,0.20516497,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-09,0.2782792,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-10,0.27066332,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-11,0.3281204,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-12,0.38130322,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-13,0.38130322,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-16,0.32490408,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-17,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-18,0.4881802,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-19,0.35000086,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-20,0.44884863,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-23,0.4507338,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-24,0.60097843,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-25,0.76260644,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
