date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2019-01-03,692.3019409179688,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-04,9.942655410271614,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-07,10.191824522162802,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-08,0.2605105983713171,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-09,46.99104004769174,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-10,46.51459941161889,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-11,2.4079279396528865,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-14,688.92397934728,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-15,1350.7188107466695,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-16,1365.1737669120616,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-17,697.8167041455941,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-18,593.3427786011133,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-22,761.2229024162176,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-23,532.6799316660713,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-24,610.446636975045,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-25,677.2787285356577,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-28,694.8991846448189,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-29,980.6451143092589,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-30,488.28223103722064,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-01-31,706.4247005480636,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-01,567.3661124417177,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-04,687.8038793906393,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-05,550.0544025164006,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-06,1058.1185274398176,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-07,578.8545967927124,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-08,700.2886885397386,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-11,0.0,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-12,6.8170848486011515,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-13,575.3913697064048,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-14,580.6293849698584,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-15,0.07797934972429317,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-19,600.9944355854258,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-20,417.8782447393118,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-21,483.43302552674066,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-22,495.2986773476576,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-25,0.0,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-26,0.023907872971646003,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-27,578.9679475284711,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-02-28,1.9870187408673652,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-01,1.9725910903042074,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-04,0.02941481533851913,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-05,569.0974746478641,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-06,1.0042059403324954,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-07,39.54989799911865,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-08,682.3429387420649,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-11,2.416598434334949,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-12,690.1949890401958,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-13,489.149781004294,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-14,489.6159342798333,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-15,1152.8597604174554,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-18,0.0,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-19,907.5432424051777,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-20,575.8707228877563,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
2019-03-21,1088.0474316652303,0,2010-01-01,2018-12-31,2019-01-01,2019-12-31
