date,turnover,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2022-01-04,0.39684412,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-05,0.2722437,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-06,0.12802689,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-07,5.7667494e-06,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-10,0.2835551,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-11,0.25962096,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-12,0.14155348,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-13,0.667638,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-14,0.43525925,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-18,0.024045616,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-19,0.4881775,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-20,0.44491848,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-21,0.30425513,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-24,0.52016735,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-25,0.0003299415,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-26,0.41821268,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-27,0.26625687,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-28,0.31720403,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-31,0.3718272,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-01,0.043097734,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-02,0.39124015,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-03,0.46211416,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-04,0.0044834614,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-07,0.7164836,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-08,0.44467914,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-09,0.23150036,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-10,0.5407666,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-11,0.3248873,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-14,0.32481998,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-15,0.7614739,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-16,0.7614835,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-17,0.7625477,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-18,0.73218215,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-22,0.4881802,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-23,0.48817983,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-24,0.48817983,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-25,0.4881801,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-28,4.61936e-07,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-01,0.48817995,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-02,0.7539683,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-03,0.39188057,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-04,0.76189756,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-07,0.46032256,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-08,0.43242747,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-09,0.6148472,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-10,0.7625828,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-11,0.0041614473,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-14,0.35278824,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-15,0.024375528,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-16,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-17,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-18,0.0002567023,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-21,0.0002567023,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-22,0.00016207993,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-23,0.05818945,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-24,0.39404142,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-25,0.3816052,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-28,0.3658017,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-29,0.36579955,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-30,0.60092527,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-31,0.4239329,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-01,0.44389164,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-04,0.3786107,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-05,0.7608958,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-06,0.3780411,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-07,0.3810224,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-08,0.3805985,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-11,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-12,0.60097843,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-13,0.38130322,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-14,0.29487795,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-18,0.39824957,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-19,0.0013707578,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-20,0.38103455,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-21,0.60066503,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-22,0.5816691,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-25,0.36341846,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-26,0.38269854,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-27,0.3816517,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-28,0.0014103204,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-04-29,0.3793071,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-02,1.5944242e-06,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-03,0.37642086,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-04,0.0054639876,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-05,0.37553477,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-06,0.0063498765,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-09,2.0861626e-07,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-10,0.2748117,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-11,0.08187395,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-12,0.18306665,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-13,0.020250842,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-16,0.07672487,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-17,0.5866538,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-18,0.3420316,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-19,0.3243602,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-20,0.32279286,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-23,0.32322636,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-24,6.4074993e-07,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-25,0.32490414,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-26,0.32679266,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-27,0.0038793385,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-05-31,0.38196334,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-01,0.39142507,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-02,0.40303314,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-03,0.38129514,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-06,0.75658965,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-07,0.5979664,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-08,8.016825e-06,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-09,0.06764725,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-10,0.06764725,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-13,0.38134435,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-14,0.46208692,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-15,0.45073333,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-16,0.042698726,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-17,0.36750573,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-21,0.38091353,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-22,0.38130322,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-23,1.1920929e-07,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-24,0.76260394,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-27,0.76260376,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-28,0.38127065,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-29,0.38119334,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-06-30,0.4621547,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-01,0.46192366,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-05,0.46211714,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-06,0.32490408,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-07,0.33720636,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-08,0.33720636,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-11,0.32490408,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-12,0.3297819,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-13,0.62016344,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-14,0.18468808,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-15,0.8247973,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-18,0.31447282,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-19,0.45793107,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-20,5.751848e-06,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-21,5.6922436e-06,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-22,0.34893242,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-25,0.34893256,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-26,9.119511e-06,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-27,9.119511e-06,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-28,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-07-29,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-01,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-02,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-03,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-04,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-05,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-08,1.28000975e-05,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-09,1.2531877e-05,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-10,7.4505806e-07,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-11,1.937151e-07,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-12,0.0003335476,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-15,0.0003336817,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-16,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-17,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-18,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-19,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-22,0.38128644,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-23,0.33278835,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-24,0.33279195,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-25,0.46162093,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-26,0.4552931,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-29,0.44199005,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-30,0.0052793175,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-08-31,0.5970045,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-01,0.48817673,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-02,0.49314207,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-06,0.40343702,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-07,0.16785702,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-08,0.3231752,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-09,0.64975685,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-12,0.38044327,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-13,0.38126773,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-14,0.107363135,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-15,0.2738378,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-16,0.37746513,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-19,0.33824688,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-20,0.61748236,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-21,0.46575046,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-22,0.5467611,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-23,0.32457662,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-26,0.36679286,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-27,0.38264894,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-28,0.35524768,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-29,0.44810832,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-09-30,6.5118074e-06,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-03,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-04,0.012589864,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-05,0.3357241,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-06,0.33749393,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-07,0.5845582,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-10,0.6558171,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-11,0.3521729,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-12,0.22926919,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-13,0.28518528,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-14,0.32455507,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-17,0.4881799,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-18,0.35687047,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-19,0.45633727,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-20,0.000855729,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-21,0.3220259,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-24,0.32177186,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-25,0.3249049,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-26,0.324905,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-27,4.4703484e-07,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-28,0.4605792,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-10-31,0.3746591,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-01,0.3813032,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-02,0.44247907,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-03,0.44230244,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-04,0.37832034,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-07,0.59882045,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-08,0.00054070354,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-09,1.4901161e-08,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-10,0.24458005,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-11,0.13672307,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-14,0.32491308,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-15,0.4148934,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-16,0.093648374,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-17,0.36918244,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-18,0.37642288,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-21,0.4507376,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-22,0.4515078,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-23,0.02500406,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-25,0.15237325,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-28,0.46899885,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-11-29,0.60092694,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
