date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2020-04-15,597.493700639768,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-16,512.5729990760842,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-17,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-20,515.4324518576931,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-21,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-22,730.8213234722123,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-23,0.000282046352801985,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-24,605.3552483577128,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-27,3.5123863829428363,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-28,780.2804048335458,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-29,773.8181745351053,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-30,778.4997235856823,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-01,479.90286317108524,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-04,201.5192499079659,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-05,729.304560496956,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-06,741.5479103766593,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-07,726.4342086213289,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-08,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-11,730.9091050624637,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-12,1027.0015976691798,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-13,0.0001986695934421504,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-14,511.151649672278,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
