date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,ppo_mean,ppo_sd
2019-02-11,1004436.7446397776,1003137.4026462348,999413.3589953372,1005304.5296414024,1011614.6884859512,1004781.3448817406,3964.9684735950937
2019-02-12,1001478.2443203916,1000257.598897752,996562.6310339876,1001696.8031187748,1006916.1728521443,1001382.29004461,3323.4327969399283
2019-02-13,1001798.3404030188,1003318.3051050112,996697.6387269528,1002099.8328943924,1007376.95377103,1002258.2141800809,3419.9957795729792
2019-02-14,999681.9008967258,1001484.4452799167,993702.2571776304,998697.9903281752,1005694.3384233522,999852.18642116,3898.148393276522
2019-02-15,1001385.9153686424,1004306.825714578,997346.297864144,1000880.7819790798,1007735.763102939,1002331.1168058766,3491.67363987238
2019-02-19,1004551.6087452515,1007095.5253349307,1000323.2312413378,1002654.493249697,1010875.6538246216,1005100.1024791679,3645.2449689835457
2019-02-20,1006180.8466314432,1010373.7765587524,1001556.0872705234,1006743.6307437784,1013374.9460473844,1007645.8574503765,4007.731762164891
2019-02-21,1005362.0123249148,1008377.1568835068,1000182.8413563484,1005038.9882666422,1011784.711423039,1006149.1420508903,3851.556850172292
2019-02-22,1001349.2710301368,1002491.6952773328,994959.2454226988,997741.4649259128,1006240.215189092,1000556.3783690346,3896.9671852824295
2019-02-25,1003405.8940506058,1005828.6391553868,998216.425584652,999307.1962394408,1008035.700253746,1002958.7710567663,3742.595654613347
2019-02-26,1002330.3777418472,1003818.0039217144,996220.9790302524,996610.9290682158,1005756.3244818588,1000947.3228487776,3858.050914069039
2019-02-27,1003968.949401896,1005605.8502598766,997652.4412034098,999292.6651172264,1007355.7952797378,1002775.1402524293,3709.18261952551
2019-02-28,998159.470787872,999787.0831707004,990678.0766932064,993491.4327546684,1002704.4592653594,996964.1045343613,4334.129130706676
2019-03-01,994659.5354525008,996222.9610809998,986757.0514182332,989402.770570453,999018.467076771,993212.1571197916,4495.617762842261
2019-03-04,992642.1178252927,989924.8903549853,982764.5574412146,981349.0905119092,996316.735500287,988599.4783267376,5731.843240151055
2019-03-05,992759.1891054034,990682.5928589222,984750.3670410352,980161.5054181698,996477.8877383412,988966.3084323744,5814.707518639786
2019-03-06,992093.7457159352,990925.5689368808,983752.0502183512,979401.8473023782,995730.8818467036,988380.8188040499,5938.559321423228
2019-03-07,991559.3800514912,991241.9293963002,984118.537488932,978947.5376544888,995357.2793588164,988244.9327900058,5899.520616267726
2019-03-08,988500.1277642928,991636.024617835,985442.9502119484,977406.5766951592,994665.1640929,987530.168676427,5925.3797980968175
2019-03-11,990440.0611355096,994415.7370511026,989206.1765783732,980420.8404648348,997181.8596248594,990332.9349709358,5711.527286622388
2019-03-12,993428.6306674624,993850.6298644714,989098.4192614402,982797.0333525948,996074.4148805208,991049.8256052978,4704.5994960632415
2019-03-13,996786.4744355218,997544.7377525812,991208.6309411814,985355.6944785276,998874.5395496712,993954.0154314967,5031.817317909801
2019-03-14,999322.6152839554,999380.0109144975,991899.5156241852,988106.6507690408,1001474.4263855624,996036.6437954481,5129.245767512006
2019-03-15,993394.9599153758,994291.9123525728,985857.4892049832,980473.957096498,996124.247922232,990028.5132983323,5922.0689142802285
2019-03-18,996639.4299079695,997651.5959850184,989302.3607750952,984097.4104526994,999494.4560833634,993437.0506408293,5814.367123834079
2019-03-19,997094.9901736252,997959.5015433544,990216.0695215988,984759.8740867528,999327.3906736122,993871.5651997887,5536.3035918284495
2019-03-20,996321.3293796456,997458.1606605012,989884.8459434848,984471.803277074,998835.7241882609,993394.3726897932,5415.141312521131
2019-03-21,998950.5074275002,1000395.0393703812,993550.5623717674,988951.2136417412,1004128.1288338804,997195.0903290542,5341.016248488242
2019-03-22,998862.0277602528,999115.942313971,993756.7486053278,988656.1758976392,1004276.6057450258,996933.5000644432,5310.542711956693
2019-03-25,996322.2980065352,998810.2275470688,992917.9439991268,989699.3407345,1008589.5970740364,997267.8814722535,6444.516562038438
2019-03-26,997574.8344462536,1000949.9914981512,994056.2974591622,991076.242915104,1009152.2886039598,998561.9309845262,6247.705601861765
2019-03-27,994923.160806714,998176.0548516096,992205.8283191812,989130.8566285716,1006140.8898833704,996115.3580978892,5835.182549656462
2019-03-28,994465.5660854368,997174.4537940656,991213.5279760596,989454.5282223006,1007837.1744487884,996029.0501053302,6474.593790642484
2019-03-29,993558.8811668368,993017.24064774,988254.5457386548,984779.831192236,1007369.906854078,993396.0811199092,7695.621852720823
2019-04-01,995152.0714056648,992754.6626191247,988437.1739789372,986044.8301502484,1007933.2085848656,994064.3893477682,7631.79488618251
2019-04-02,990317.3479240125,989709.6462599052,987667.0292420948,987302.9491794666,1002956.5215896952,991590.6988390349,5798.649642921139
2019-04-03,991860.1591649692,990871.4223337094,988532.1643579032,987247.8896125328,1003659.7783160396,992434.2827570308,5846.522094325449
2019-04-04,990176.4173277871,988580.0484361866,985715.458645348,983555.2002683292,1000930.9627606024,989791.6174876506,6020.115517738791
2019-04-05,991029.0682744528,989619.0880873192,986244.508260174,984286.6574825364,1001968.6846360004,990629.6013480965,6151.707063195942
2019-04-08,991312.6969838014,989663.5737118734,986660.2656664584,984995.1869535956,1002335.7069331576,990993.4860497772,6087.247784540449
2019-04-09,991329.9807226493,990134.0263941316,986490.5354577908,985080.6338645326,1001955.1439253064,990998.064072882,5937.139431605925
2019-04-10,991285.1361584036,991989.0514016316,986104.2828087118,986376.1557217058,1003109.2088522308,991772.7669885367,6165.299716396158
2019-04-11,992511.4316815024,993074.3325133688,987181.7390345548,987575.2800402098,1005008.367083565,993070.2300706401,6445.156170770256
2019-04-12,986435.4068354196,989472.0628501318,981923.7976411252,982939.7133174236,1000270.8750578827,988208.3711403966,6595.436896016277
2019-04-15,986029.629753606,988170.5138203364,979941.9037731796,981408.5066631234,997520.1759217256,986614.1459863943,6218.085331145802
2019-04-16,985577.4129351532,986893.74828417,979346.6211388576,981152.424252356,997181.3278217692,986030.3068864612,6225.131420988797
2019-04-17,983317.4047618244,983588.4952675336,977229.7279622422,978612.8640755672,993142.3457946436,983178.1675723621,5580.296287310098
2019-04-18,981634.7593502126,981989.7863944664,975007.7884592504,977570.7947354554,992406.8858749792,981722.0029628727,5942.377443542965
2019-04-22,982429.1526817064,982965.53806832,976599.26345309,978225.015244748,994381.5655529576,982920.1070001643,6222.621345068878
2019-04-23,981763.23784156,981523.081942269,975263.1208815546,977303.6542108085,992572.3188640858,981685.0827480557,5983.356465525122
2019-04-24,984801.0846734904,981792.66838628,977133.932056536,979187.0347103792,993769.442022891,983336.8323699154,5814.88803505375
2019-04-25,985055.93405361,982250.6050592066,977826.5278416296,980193.944973904,994712.8128180158,984007.9649492732,5857.255910544644
2019-04-26,985833.9287303864,981700.9985852664,977615.3760797152,980232.792059854,995122.2982875725,984101.078748559,6119.778018711814
2019-04-29,988657.2240473786,983687.7666650276,979512.3648142928,982220.4778457524,997252.822695575,986266.1312136052,6245.8522261477165
2019-04-30,986136.9687429836,981325.1710518708,977795.8411258804,980451.9204245578,993250.127516786,983792.0057724158,5443.351034105484
2019-05-01,988004.5947970492,982544.9371702928,979391.7968481212,981980.6845423456,993920.9814242217,985168.5989564061,5197.401530546596
