iteration,train_start_date,train_end_date,test_start_date,test_end_date,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown
0,2010-01-01,2018-12-31,2019-01-01,2019-12-31,-0.04198437074866057,0.034583188132851314,-1.9140942589064305,-2.880857124282124,-0.054841776231419226
1,2011-01-01,2019-12-31,2020-01-01,2020-12-31,-0.07026936851347942,0.08033240922142856,-1.1761190849407264,-1.3956860374540854,-0.09503487158828902
2,2012-01-01,2020-12-31,2021-01-01,2021-12-31,-0.089860641009323,0.04794590312676526,-2.3791762107147547,-3.3941768774933117,-0.10272247097092428
3,2013-01-01,2021-12-31,2022-01-01,2022-12-31,-0.1598043674789731,0.0828544299378747,-2.220949184347311,-3.7467081134275135,-0.2049171589170383
4,2014-01-01,2022-12-31,2023-01-01,2023-12-31,-0.07086549121944175,0.05629627644109455,-1.6888612949390356,-2.8042070182648904,-0.119596000445957
5,2015-01-01,2023-12-31,2024-01-01,2024-12-31,-0.06153116339058251,0.0514888599186594,-1.6652587498955456,-2.394095579575388,-0.06646334197549478
