date,transaction_cost_mean,transaction_cost_sd
2019-01-03,646.185595703125,58.24160965421447
2019-01-04,27.92205482577064,51.730599423995805
2019-01-07,78.33921520236434,94.88929814141332
2019-01-08,58.87845317220389,81.34748344418715
2019-01-09,210.57924023980013,247.97884953156964
2019-01-10,667.4826961220833,211.43613463276535
2019-01-11,316.20330245934235,270.1245956534142
2019-01-14,506.1234781203904,335.0753849675609
2019-01-15,528.2496592986533,268.2358190214133
2019-01-16,571.5594898049676,307.20752971685755
2019-01-17,677.4997276070374,296.44469555017787
2019-01-18,636.6904054934682,366.12544773330865
2019-01-22,429.0658664319206,403.9701058473797
2019-01-23,661.0746689277719,174.23069063536792
2019-01-24,279.1791900910479,181.01309795175916
2019-01-25,571.946991321187,113.06543080733117
2019-01-28,686.2488715718774,231.03562590711329
2019-01-29,770.9271361728458,279.8958877876832
2019-01-30,647.7050848701476,148.96344546551023
2019-01-31,597.6613996821502,215.6623617527489
2019-02-01,759.9321391578244,243.1401873972794
2019-02-04,695.1080423932965,251.6208349810815
2019-02-05,812.3777027502349,213.50353869314924
2019-02-06,901.8089786820443,315.6133161024241
2019-02-07,614.0602107427588,193.94864191119137
2019-02-08,629.004624692189,300.8096075967418
2019-02-11,684.0576358804507,264.89829127831734
2019-02-12,430.73713483346484,246.85304213243495
2019-02-13,727.1758037556489,254.08909764410984
2019-02-14,734.156769849292,238.24860943760396
2019-02-15,729.9545406963849,208.5260341776033
2019-02-19,458.02628499422116,355.0158781317509
2019-02-20,549.7310254146194,329.79355418057065
2019-02-21,716.7441953448918,342.824041293461
2019-02-22,356.13917698563927,228.29787856758324
2019-02-25,793.791637841746,276.01795195515075
2019-02-26,463.06818793870224,279.5470608773102
2019-02-27,581.9332528663756,424.78677030625335
2019-02-28,651.4410566418763,402.975142804976
2019-03-01,393.9539277164907,257.3825150647691
2019-03-04,380.6605462806229,453.4993800033168
2019-03-05,629.1883589497704,352.450393497069
2019-03-06,547.9582581424313,321.91132039861566
2019-03-07,655.4221106745232,216.96328886840473
2019-03-08,626.8496721794611,417.1230641644075
2019-03-11,645.554413321199,139.27288524510865
2019-03-12,601.6759965088168,226.28772274032292
2019-03-13,488.0983739750035,337.2165456850747
2019-03-14,494.59841343222195,429.09348071311706
2019-03-15,616.2547827205169,377.1880507269802
2019-03-18,750.1148599044637,273.42902516600856
2019-03-19,575.3541477385772,390.1529778207066
2019-03-20,538.7349384452831,400.2653892959475
2019-03-21,544.3004582386834,130.1582539115616
2019-03-22,660.8237416303871,386.3616093989854
2019-03-25,565.2664753735291,309.3912099328884
2019-03-26,439.63729672088294,283.25867666607945
2019-03-27,497.10673970783944,234.51098857664343
2019-03-28,677.3586500272193,180.46082101327156
2019-03-29,651.5434930943453,377.3775429823677
2019-04-01,552.349233993211,344.6501380975558
2019-04-02,645.3674528539419,401.71311286198517
2019-04-03,544.9728122497886,367.763824226295
2019-04-04,494.0840657777914,282.3431252832197
2019-04-05,526.9848618807107,356.5102657821943
2019-04-08,862.5899357240589,252.96545752626392
2019-04-09,471.70599715184187,305.8656090435037
2019-04-10,629.9904018550945,418.20532484965867
2019-04-11,459.09012342661333,367.6026319738708
2019-04-12,569.0908842639716,82.01145232714487
2019-04-15,557.5873632814634,355.2230210827054
2019-04-16,647.5097630318492,363.02814765905833
2019-04-17,703.5216229888091,238.18836398277878
2019-04-18,625.9247760440574,207.84774828002847
2019-04-22,783.2477421595191,253.68881174813038
2019-04-23,467.353065896658,272.47684896287365
2019-04-24,500.4243501754278,286.9560996861338
2019-04-25,428.520689339464,231.85591400977586
2019-04-26,551.440719999391,195.0506125178163
2019-04-29,486.51567238046744,321.8376658429272
2019-04-30,568.1748667731147,143.52433290286785
2019-05-01,561.7838441591168,251.50083754511823
2019-05-02,738.7366328639616,168.48544350932866
2019-05-03,355.3050839301744,334.43829387623987
2019-05-06,742.8695421772823,224.09566359201358
2019-05-07,621.1710030588503,454.240715335978
2019-05-08,644.3414059086423,168.81149197062183
2019-05-09,641.0659055698356,195.60142065433513
2019-05-10,522.5690603063395,258.69102936695015
2019-05-13,436.2979511204864,177.91476369083387
2019-05-14,539.0212069914436,317.6869237007707
2019-05-15,370.3589346878346,381.920343861843
2019-05-16,532.7848625924196,373.1937839371122
2019-05-17,759.8369443571078,220.7658736099601
2019-05-20,527.0385761457437,162.7008310881756
2019-05-21,514.5597349654114,274.3204994422645
2019-05-22,449.1197071676872,318.92745595037104
2019-05-23,451.93326075616733,241.8520663236942
2019-05-24,899.2638640073341,214.98164565049834
2019-05-28,654.8349879967336,389.76384794167996
2019-05-29,641.063443615508,231.75631677039638
2019-05-30,558.0883652557641,142.21924388899026
2019-05-31,469.67033949148845,465.31720457759394
2019-06-03,875.992529324201,238.68551801454106
2019-06-04,705.7416983806974,177.7114698234848
2019-06-05,524.8912599852963,303.2493755644428
2019-06-06,318.8966436856315,255.2530148342579
2019-06-07,323.02974913731066,262.05524635366527
2019-06-10,738.355798766622,137.77970847438795
2019-06-11,623.9054380898954,234.53019222695247
2019-06-12,636.9274984557308,320.33899761995076
2019-06-13,461.44449090975513,276.56119956220755
2019-06-14,438.45200203146953,294.6675486757425
2019-06-17,568.8510632845497,253.51625092813018
2019-06-18,605.3105557506893,290.1261368191772
2019-06-19,682.1615861036261,274.8155655774706
2019-06-20,684.6266724975441,274.710749373765
2019-06-21,263.8750041580305,194.2584409306006
2019-06-24,559.6453199306341,307.96953613671656
2019-06-25,448.9538898165939,268.01429277001563
2019-06-26,625.8488408362657,524.7315874281604
2019-06-27,640.9854472125176,247.6245892325821
2019-06-28,420.8640987968697,347.77653221229724
2019-07-01,466.7805634757075,314.679016424813
2019-07-02,563.2841643609056,304.7011579772636
2019-07-03,570.7905111394576,163.70643377982404
2019-07-05,425.3954121627001,261.8204936874533
2019-07-08,657.2670878281835,84.48957680874928
2019-07-09,529.1930137278026,141.02790664157794
2019-07-10,319.54771860543883,326.7354752362688
2019-07-11,481.2808381895569,79.30411412853383
2019-07-12,620.444141735238,219.34532875000858
2019-07-15,429.69400714997425,257.37609874757504
2019-07-16,768.6053349811781,205.13059899818995
2019-07-17,617.3728322213913,59.037678634924845
2019-07-18,483.3835821999331,181.54094923065804
2019-07-19,823.1689782668946,344.0015663710947
2019-07-22,540.5311400941684,145.44752140952932
2019-07-23,573.241926905662,279.95054034565624
2019-07-24,473.00774411319446,343.48036583903814
2019-07-25,730.6561218125089,275.21252293513504
2019-07-26,690.8881242198098,276.42641327514025
2019-07-29,418.24277499477375,335.8581364961441
2019-07-30,656.1178025871835,277.4975749625171
2019-07-31,605.7932273219728,312.4343775150852
2019-08-01,856.7003851116622,228.5288044682547
2019-08-02,553.025391823576,312.65594938023065
2019-08-05,604.8021298263909,243.306896067814
2019-08-06,734.9061553340358,443.9947720635519
2019-08-07,655.0380042324875,257.49227753453977
2019-08-08,594.8290643643014,332.3480943796669
2019-08-09,732.3755366359511,119.05558593001939
2019-08-12,535.0887387923433,209.77585774696166
2019-08-13,770.6388512479286,167.12878548910464
2019-08-14,634.2562532047647,62.32769462290106
2019-08-15,686.7345927650078,135.74510881856872
2019-08-16,573.2541506301086,279.4499012620513
2019-08-19,570.7537152853506,166.48158448438497
2019-08-20,396.6828622556269,361.8948351976841
2019-08-21,716.6362780790316,223.57444995822172
2019-08-22,684.1596943824974,246.83949550770487
2019-08-23,546.7694217552158,406.0740820280416
2019-08-26,610.2408307141216,70.91131860053221
2019-08-27,684.4836144754324,87.44116510079222
2019-08-28,425.05124986134234,450.7109198123274
2019-08-29,771.7429670215522,269.10052183973966
2019-08-30,519.3836061467134,434.2663004630213
2019-09-03,758.7071118010324,129.7446528813202
2019-09-04,586.5946516602571,163.32273134925467
2019-09-05,570.3407734027439,276.2445549652805
2019-09-06,574.8748821772062,436.9719914604828
2019-09-09,756.5802348293016,120.05799622185235
2019-09-10,485.42323876004536,417.80972424785625
2019-09-11,638.7606880701968,309.76444507771805
2019-09-12,742.1398764808253,462.0641995274351
2019-09-13,545.5821055037572,344.47190885233783
2019-09-16,575.1580709127417,150.90917208326547
2019-09-17,658.856622517276,203.40232023019456
2019-09-18,586.8776240630863,293.9749979520918
2019-09-19,682.3925916559941,195.57282649529373
2019-09-20,477.5981793315585,427.3383517266503
2019-09-23,695.8429118335447,276.86043916275406
2019-09-24,445.5581712207585,326.73161946024305
2019-09-25,648.6439285505458,115.19777973571252
2019-09-26,733.92500624843,315.44185392939204
2019-09-27,772.6898018108243,196.7870958794406
2019-09-30,519.511840668257,230.25831758809838
2019-10-01,453.02170399002387,258.78215906106016
2019-10-02,452.5791260698679,151.0847024578192
2019-10-03,835.7920352995412,309.03430404551494
2019-10-04,572.7494050948812,250.87716814024847
2019-10-07,627.0156714245227,256.0305862973366
2019-10-08,575.7677273632244,303.62480406028095
2019-10-09,513.3663260811501,294.73592740541847
2019-10-10,641.5686546539293,336.81380417181066
2019-10-11,537.133684701488,242.7523341140384
2019-10-14,735.6051870717644,155.13607926520916
2019-10-15,321.9416898723076,332.52882972467444
2019-10-16,728.738642800524,308.99818635938914
2019-10-17,587.5429989877882,263.09846478034126
2019-10-18,509.3422894458643,104.83480591693946
2019-10-21,756.7675072215233,355.92483952562867
2019-10-22,673.9438305616984,323.61958252256625
2019-10-23,854.2711091575322,348.5692673342882
2019-10-24,663.5182432564031,199.33659288143804
2019-10-25,626.9650410021543,153.70879781320207
2019-10-28,404.5843971023675,320.5326748665139
2019-10-29,826.8362559430782,327.29161495437967
2019-10-30,682.6387494425949,194.05957376611107
2019-10-31,782.4879557586985,333.31900943760013
2019-11-01,691.413286264398,329.7343348881119
2019-11-04,641.9296895240889,225.14396561654283
2019-11-05,532.2514812796187,156.58776992548457
2019-11-06,602.3541981777595,306.88084044272574
2019-11-07,666.9926593830539,560.051897537636
2019-11-08,453.72495453719546,289.35690552424643
2019-11-11,697.1830637772375,268.44004842693886
