seed,test_period,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,final_portfolio_value,cumulative_trading_days
0,2019-01-01 to 2024-12-31,-0.08400814837817372,-0.014585246164096288,0.12502918728636875,-0.31029840405462794,-0.8011782020168029,-0.23292386365416637,917359.8863276318,1505
25,2019-01-01 to 2024-12-31,-0.022678243334334103,-0.0038336401869393244,0.15518513565475747,-0.1807180254714729,-0.5670457375154183,-0.2632767686460543,977842.376631803,1505
50,2019-01-01 to 2024-12-31,-0.08159733755094867,-0.014151456389834505,0.10866504382999306,-0.35303503453202506,-0.8990846698544417,-0.2534315546945402,919781.321903569,1505
75,2019-01-01 to 2024-12-31,-0.003720985630598861,-0.000624016039015407,0.09577835984242533,-0.25929789558920513,-0.5653195751339242,-0.2040858275702232,997030.8829126767,1505
100,2019-01-01 to 2024-12-31,-0.03709561664348149,-0.0063095079068195,0.12492181666063255,-0.24431776477317899,-0.6730048468364839,-0.22648862083705773,964356.4231617944,1505
