date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2020-01-03,636.7937622070312,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-06,969.808917233008,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-07,590.3296778043654,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-08,572.1079219824112,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-09,1224.6824927639523,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-10,1397.310522290641,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-13,1152.4261315338867,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-14,546.1189447677185,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-15,478.3069961005329,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-16,842.4004604144578,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-17,1094.2078438345272,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-21,593.4505136518676,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-22,875.6468153788263,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-23,970.1785656129243,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-24,549.0641087920768,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-27,743.5030442569503,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-28,744.2204266499626,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-29,537.1332641745148,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-30,867.3838595296132,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-31,986.9787609103887,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-03,658.8662002415006,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-04,562.7638022127762,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-05,983.0762560645414,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-06,475.422480214095,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-07,474.6037431754493,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-10,166.5096368109005,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-11,166.8717938720072,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-12,290.47706656827387,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-13,285.56182289919127,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-14,490.6776853818154,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-18,426.16728018315933,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-19,412.0185754518881,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-20,414.0910905707027,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-21,329.4946948126795,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-24,391.9854395583818,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-25,832.9601239320277,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-26,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-27,696.6508465956438,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-28,526.5816232925098,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-02,509.14909830642523,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-03,424.6197055549949,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-04,579.9669516319767,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-05,656.1593435013511,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-06,265.3093366596224,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-09,429.45515973131506,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-10,856.2334626184794,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-11,555.1339875483866,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-12,186.05891188491685,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-13,217.77851950876175,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-16,564.6100410175992,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-17,342.2201946782097,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-18,736.5844897472949,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-19,244.48604283818776,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-20,499.8908887865264,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-23,549.2325245544228,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-24,765.2329450589864,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-25,76.29905598191533,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-26,852.969444601752,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-27,114.1758276001514,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-30,950.193639802412,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-31,210.07155694011954,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-01,285.1495867999625,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-02,962.5144668737837,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-03,1084.3766198776589,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-06,507.52860022412966,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-07,783.9572491512138,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-08,686.6169020435342,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-09,543.3161125577165,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-13,741.1767389693783,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-14,731.8403114216844,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-15,819.2238257481621,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-16,436.73158388332513,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-17,692.4749499366088,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-20,640.5396265384704,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-21,678.4229428176737,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-22,904.8924444235034,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-23,590.7006842518886,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-24,757.9602351865312,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
