date,turnover
2022-01-03,1.3305499999992696
2022-01-04,0.033849999999966095
2022-01-05,0.0248599999999752
2022-01-06,0.059879999999940065
2022-01-07,0.004199999999995728
2022-01-10,0.0025499999999974298
2022-01-11,0.014869999999985136
2022-01-12,0.007699999999992339
2022-01-13,0.006509999999993434
2022-01-14,0.0065099999999934394
2022-01-18,0.0033599999999966326
2022-01-19,0.04483999999995514
2022-01-20,0.007719999999992235
2022-01-21,0.0024399999999975596
2022-01-24,0.020739999999979337
2022-01-25,0.009349999999990718
2022-01-26,0.0008499999999991298
2022-01-27,0.02317999999997672
2022-01-28,0.0016999999999983883
2022-01-31,0.003379999999996759
2022-02-01,0.0005799999999994004
2022-02-02,0.005859999999994064
2022-02-03,0.004759999999995226
2022-02-04,0.00743999999999255
2022-02-07,0.023839999999976116
2022-02-08,0.002319999999997671
2022-02-09,0.003259999999996724
2022-02-10,0.0030999999999968414
2022-02-11,0.06157999999993844
2022-02-14,0.0107899999999892
2022-02-15,0.0012999999999987258
2022-02-16,0.00025999999999961124
2022-02-17,0.0012499999999985856
2022-02-18,0.0005199999999995521
2022-02-22,0.0006799999999993304
2022-02-23,0.0004199999999997227
2022-02-24,1.9999999999947143e-05
2022-02-25,0.0002199999999997239
2022-02-28,0.00011999999999988756
2022-03-01,0.0021199999999978875
2022-03-02,0.002919999999997022
2022-03-03,0.003089999999997003
2022-03-04,0.00020999999999984296
2022-03-07,0.00019999999999977794
2022-03-08,0.00037999999999961404
2022-03-09,0.0004199999999996098
2022-03-10,0.00017999999999982857
2022-03-11,0.00011999999999984755
2022-03-14,0.0146599999999854
2022-03-15,0.001749999999997942
2022-03-16,0.0031099999999970687
2022-03-17,0.00045999999999950367
2022-03-18,0.0030399999999971093
2022-03-21,0.0005399999999994217
2022-03-22,0.008839999999991122
2022-03-23,0.00030999999999960465
2022-03-24,0.000909999999999148
2022-03-25,0.0018599999999981734
2022-03-28,0.0029799999999970124
2022-03-29,0.00477999999999517
2022-03-30,0.007419999999992544
2022-03-31,0.007029999999993019
2022-04-01,6.999999999997286e-05
2022-04-04,0.002959999999997036
2022-04-05,0.003289999999996839
2022-04-06,0.0014299999999983493
2022-04-07,0.0034699999999966615
2022-04-08,0.0026299999999972673
2022-04-11,0.0005499999999996316
2022-04-12,0.0064599999999936115
2022-04-13,0.00936999999999047
2022-04-14,0.0014799999999986712
2022-04-18,0.0030699999999969346
2022-04-19,7.000000000004203e-05
