date,SPY_weight,TLT_weight,GLD_weight,FXY_weight,CASH_weight
2019-01-03,0.0008499999999991498,0.0018199999999981798,0.0006599999999993399,0.00203999999999796,0.9946299999990053
2019-01-04,0.0009299999999990701,0.00233999999999766,0.00165999999999834,0.0005299999999994699,0.9945299999990055
2019-01-07,0.0009499999999990499,0.0023799999999976197,0.0015699999999984299,0.00040999999999959,0.9946999999990053
2019-01-08,0.0009499999999990499,0.0023799999999976197,0.00157999999999842,0.0003999999999996,0.9946999999990053
2019-01-09,0.0010499999999989498,0.0022799999999977196,0.0010499999999989498,0.00108999999999891,0.9945299999990054
2019-01-10,0.0010299999999989699,0.0022899999999977097,0.0010399999999989597,0.0010299999999989699,0.9946199999990053
2019-01-11,0.00092999999999907,0.00182999999999817,0.00058999999999941,0.0013099999999986898,0.9953399999990046
2019-01-14,0.0009299999999990701,0.00184999999999815,0.00056999999999943,0.0013299999999986701,0.9953099999990048
2019-01-15,0.00096999999999903,0.0016999999999982999,0.00038999999999960995,0.0018199999999981798,0.9951299999990048
2019-01-16,0.0010499999999989498,0.00182999999999817,0.0008499999999991498,0.0014599999999985397,0.9948099999990051
2019-01-17,0.0010499999999989498,0.00185999999999814,0.0008999999999990999,0.0013699999999986297,0.9948199999990052
2019-01-18,0.0010599999999989398,0.00198999999999801,0.00098999999999901,0.0012299999999987698,0.9947299999990051
2019-01-22,0.0010499999999989498,0.0017899999999982101,0.00062999999999937,0.00148999999999851,0.995029999999005
2019-01-23,0.0010499999999989498,0.0018799999999981197,0.0006099999999993899,0.00142999999999857,0.9950299999990049
2019-01-24,0.0014999999999985,0.00232999999999767,0.0014499999999985499,0.00143999999999856,0.9932899999990067
2019-01-25,0.00161999999999838,0.0024499999999975496,0.00117999999999882,0.00162999999999837,0.993109999999007
2019-01-28,0.00251999999999748,0.0032899999999967096,0.00115999999999884,0.00184999999999815,0.9911799999990086
2019-01-29,0.00232999999999767,0.0029099999999970894,0.0015699999999984299,0.00166999999999833,0.9915199999990083
2019-01-30,0.0026399999999973597,0.00333999999999666,0.00135999999999864,0.0024299999999975695,0.9902399999990097
2019-01-31,0.00251999999999748,0.00365999999999634,0.0006999999999992999,0.0026099999999973896,0.9905099999990093
2019-02-01,0.0022599999999977395,0.0024599999999975397,0.00020999999999979,0.00387999999999612,0.9911899999990087
2019-02-04,0.00168999999999831,0.0018999999999980998,0.0,0.0040999999999959,0.9923099999990076
2019-02-05,0.0015999999999984,0.00182999999999817,0.0,0.00394999999999605,0.9926299999990073
2019-02-06,0.0015499999999984498,0.00168999999999831,0.0,0.00400999999999599,0.9927399999990072
2019-02-07,0.0015699999999984299,0.0016599999999983399,0.0,0.004049999999995949,0.9927199999990073
2019-02-08,0.0017799999999982196,0.0010499999999989498,0.0,0.006599999999993399,0.9905699999990093
2019-02-11,0.0018799999999981197,0.0013799999999986197,0.0,0.006989999999993009,0.9897499999990101
2019-02-12,0.0015999999999984,0.0011299999999988698,0.0,0.005629999999994369,0.9916399999990082
2019-02-13,0.00142999999999857,0.0010499999999989498,0.0,0.005669999999994329,0.991849999999008
2019-02-14,0.0012899999999987097,0.0009399999999990599,0.0,0.00522999999999477,0.9925399999990073
2019-02-15,0.0013499999999986502,0.0009999999999990002,0.0,0.00430999999999569,0.9933299999990067
2019-02-19,0.0012199999999987798,0.0008899999999991098,0.0,0.0042999999999957,0.9935899999990063
2019-02-20,0.0011199999999988797,0.0009499999999990499,0.0,0.00448999999999551,0.9934399999990065
2019-02-21,0.0010599999999989398,0.0008199999999991799,0.0,0.004539999999995459,0.9935799999990064
2019-02-22,0.0009999999999990002,0.0006599999999993399,0.0,0.00476999999999523,0.9935599999990065
2019-02-25,0.00092999999999907,0.0005599999999994399,0.0,0.0047699999999952294,0.9937399999990061
2019-02-26,0.0009799999999990198,0.00032999999999966997,0.0,0.004669999999995329,0.9940299999990059
2019-02-27,0.0011299999999988698,0.00037999999999962,0.0,0.00395999999999604,0.9945299999990054
2019-02-28,0.00101999999999898,0.0,0.0,0.00398999999999601,0.994979999999005
2019-03-01,0.00176999999999823,0.0,0.0,0.004709999999995289,0.9935199999990063
2019-03-04,0.0020799999999979195,0.0,0.0,0.00482999999999517,0.9930899999990068
2019-03-05,0.0022499999999977495,0.0,0.0,0.005259999999994739,0.9924899999990074
2019-03-06,0.0021299999999978697,0.0,0.0,0.00522999999999477,0.9926399999990072
2019-03-07,0.00216999999999783,0.0,0.0,0.00528999999999471,0.9925399999990073
2019-03-08,0.00203999999999796,0.0,0.0,0.00531999999999468,0.9926399999990072
2019-03-11,0.00230999999999769,0.0,0.0,0.00481999999999518,0.9928599999990071
2019-03-12,0.0017199999999982798,0.0,0.0,0.0046099999999953895,0.9936799999990062
2019-03-13,0.00182999999999817,0.0,0.0,0.00528999999999471,0.9928899999990071
2019-03-14,0.00201999999999798,0.0,0.0,0.005179999999994819,0.9927999999990071
2019-03-15,0.0017799999999982196,0.0,0.0,0.004579999999995419,0.9936399999990062
2019-03-18,0.0015599999999984398,0.0,0.0,0.00475999999999524,0.9936799999990062
2019-03-19,0.00182999999999817,0.0,0.0,0.00475999999999524,0.9934099999990065
2019-03-20,0.00181999999999818,0.0,0.0,0.00477999999999522,0.9933899999990067
2019-03-21,0.00191999999999808,0.0,0.0,0.00385999999999614,0.9942199999990057
2019-03-22,0.0017499999999982501,0.0,0.0,0.00387999999999612,0.9943599999990056
2019-03-25,0.00175999999999824,0.0,0.0,0.00401999999999598,0.9942199999990057
