date,SPY_weight,TLT_weight,GLD_weight,FXY_weight,diversification_ratio
2019-01-03,0.1092899999998907,0.5142899999994857,0.33966999999966035,0.03674999999996324,1.594823759048699
2019-01-04,0.135949999999864,0.507839999999492,0.3283899999996716,0.02781999999997218,1.6116505064005335
2019-01-07,0.14002999999985996,0.44724999999955267,0.29375999999970626,0.11896999999988103,1.7675367457420108
2019-01-08,0.13452999999986548,0.43198999999956794,0.43347999999956643,0.0,1.5959326866453698
2019-01-09,0.17472999999982528,0.2935199999997065,0.010779999999989218,0.520959999999479,1.6049734010716294
2019-01-10,0.17099999999982904,0.07673999999992326,0.0,0.7522499999992477,1.289896235856745
2019-01-11,0.17096999999982904,0.0,0.0,0.8290299999991709,1.1813685154032094
2019-01-14,0.17170999999982828,0.12732999999987266,0.0,0.700959999999299,1.364569951380769
2019-01-15,0.16927999999983073,0.0493999999999506,0.0,0.7813099999992187,1.2484849605118613
2019-01-16,0.194999999999805,0.04154999999995844,0.012729999999987269,0.7507199999992493,1.2872518691041712
2019-01-17,0.2034799999997965,0.13052999999986947,0.19104999999980893,0.47493999999952496,1.7663591257676874
2019-01-18,0.21694999999978304,0.1012799999998987,0.15472999999984527,0.5270399999994728,1.6688992106994907
2019-01-22,0.25905999999974094,0.0,0.1402899999998597,0.6006499999993993,1.4947469529562536
2019-01-23,0.2556699999997443,0.0,0.14829999999985166,0.5960299999994039,1.5031021849202912
2019-01-24,0.2621099999997379,0.11087999999988912,0.27240999999972754,0.3545999999996454,1.8866433722520501
2019-01-25,0.30548999999969445,0.35948999999964043,0.01647999999998352,0.3185399999996814,1.756017559492059
2019-01-28,0.3285099999996715,0.2949099999997051,0.15117999999984882,0.22540999999977457,1.929687945715609
2019-01-29,0.3147999999996852,0.23196999999976803,0.2134799999997865,0.2397499999997602,1.976566790614084
2019-01-30,0.31032999999968963,0.2722199999997278,0.240989999999759,0.17645999999982354,1.962585690186369
2019-01-31,0.31144999999968853,0.30599999999969396,0.22990999999977008,0.15263999999984734,1.9360270332450313
2019-02-01,0.318019999999682,0.27527999999972474,0.2552399999997448,0.15145999999984855,1.942559307035478
2019-02-04,0.43662999999956337,0.2637599999997362,0.29960999999970034,0.0,1.690353795607763
2019-02-05,0.5683499999994316,0.13083999999986917,0.3008099999996992,0.0,1.5238742400438214
2019-02-06,0.5505199999994494,0.1568999999998431,0.2925799999997074,0.0,1.5555035563940176
2019-02-07,0.5752199999994247,0.20816999999979183,0.2166099999997834,0.0,1.5409570109832016
2019-02-08,0.4712399999995287,0.34851999999965144,0.18023999999981977,0.0,1.6307772764069794
2019-02-11,0.3540899999996459,0.4058499999995941,0.2400599999997599,0.0,1.6958344151571532
2019-02-12,0.43081999999956916,0.36864999999963133,0.20052999999979948,0.0,1.6626971528933892
2019-02-13,0.4623999999995375,0.45206999999954794,0.08552999999991445,0.0,1.5330349000809416
2019-02-14,0.48253999999951747,0.4555299999995444,0.06192999999993806,0.0,1.5004333471049034
2019-02-15,0.44559999999955435,0.4823099999995177,0.0720899999999279,0.0,1.5137980698670968
2019-02-19,0.43360999999956634,0.4664699999995335,0.09991999999990006,0.0,1.551187773964355
2019-02-20,0.2893599999997106,0.4031299999995968,0.3075099999996925,0.0,1.7129581870644228
2019-02-21,0.4874899999995125,0.30550999999969447,0.206999999999793,0.0,1.6355425385346942
2019-02-22,0.6931499999993068,0.15951999999984046,0.14732999999985263,0.0,1.376713660710404
2019-02-25,0.7272599999992727,0.04666999999995333,0.2260699999997739,0.0,1.3105891536990544
2019-02-26,0.7876899999992122,0.09589999999990409,0.11640999999988358,0.0,1.2468831475783113
2019-02-27,0.742909999999257,0.25708999999974286,0.0,0.0,1.2720437848803248
2019-02-28,0.9999999999989999,0.0,0.0,0.0,1.0
2019-03-01,0.9999999999989999,0.0,0.0,0.0,1.0
2019-03-04,0.9999999999989999,0.0,0.0,0.0,1.0
2019-03-05,0.9894599999990105,0.01053999999998946,0.0,0.0,1.0105949400145628
2019-03-06,0.9184699999990814,0.08152999999991847,0.0,0.0,1.084502840991861
2019-03-07,0.9543999999990456,0.0455999999999544,0.0,0.0,1.046584815555388
2019-03-08,0.6565099999993435,0.3434899999996565,0.0,0.0,1.349638574381044
2019-03-11,0.814969999999185,0.18502999999981495,0.0,0.0,1.1965864782481208
2019-03-12,0.9328599999990671,0.06713999999993286,0.0,0.0,1.0692065466212428
2019-03-13,0.7382999999992615,0.26169999999973825,0.0,0.0,1.2766345794667238
2019-03-14,0.7394499999992605,0.26054999999973943,0.0,0.0,1.2754929754059048
2019-03-15,0.8246399999991754,0.1753599999998246,0.0,0.0,1.1861284156351566
2019-03-18,0.8615699999991383,0.13842999999986155,0.0,0.0,1.145974143449043
2019-03-19,0.8840899999991159,0.11590999999988408,0.0,0.0,1.121508860459011
2019-03-20,0.9999999999989999,0.0,0.0,0.0,1.0
2019-03-21,0.6820099999993179,0.31798999999968197,0.0,0.0,1.3289047924613808
2019-03-22,0.6014699999993984,0.3985299999996014,0.0,0.0,1.3859613545250733
2019-03-25,0.3642799999996357,0.6357199999993641,0.0,0.0,1.364827084003583
2019-03-26,0.3428599999996571,0.6571399999993427,0.0,0.0,1.3491530579958164
2019-03-27,0.393989999999606,0.606009999999394,0.0,0.0,1.383460383345269
2019-03-28,0.3524699999996475,0.6475299999993525,0.0,0.0,1.356401181653365
2019-03-29,0.3627999999996372,0.6371999999993627,0.0,0.0,1.363801337220837
2019-04-01,0.3362299999996637,0.6637699999993362,0.0,0.0,1.343958286032345
