date,turnover
2019-02-04,0.49637727221605354
2019-02-05,0.1290643731933375
2019-02-06,0.032987780508290626
2019-02-07,0.020035944821077054
2019-02-08,0.18269495945393993
2019-02-11,0.016338069597104682
2019-02-12,0.062017907562530145
2019-02-13,0.027226576587845608
2019-02-14,0.014075386581126947
2019-02-15,0.10104015491625443
2019-02-19,0.030775321091209867
2019-02-20,0.4098925621713895
2019-02-21,0.04480786554568966
2019-02-22,0.11774495826797902
2019-02-25,0.010077128285376047
2019-02-26,0.1325958754354591
2019-02-27,0.0822052874891998
2019-02-28,0.03682903467407253
2019-03-01,0.09048517823993199
2019-03-04,0.06143248477221236
2019-03-05,0.04168976780307416
2019-03-06,0.0069698414614658005
2019-03-07,0.014048637265722523
2019-03-08,0.28190643981381075
2019-03-11,0.28254174165002577
2019-03-12,0.10487052629680158
2019-03-13,0.06887172341024092
2019-03-14,0.05190950472184486
2019-03-15,0.02458366053497285
2019-03-18,0.03663402090239618
2019-03-19,0.05476881113505134
2019-03-20,0.024014341657666888
2019-03-21,0.09355654115902898
2019-03-22,0.41714642403618674
2019-03-25,0.14602207787275676
2019-03-26,0.04763166860640952
2019-03-27,0.02124495557992878
2019-03-28,0.05438677429237809
2019-03-29,0.0677651875566973
2019-04-01,0.09299817649614414
2019-04-02,0.0988597481346023
2019-04-03,0.011220059993577808
2019-04-04,0.03141243470942934
2019-04-05,0.041539699127551566
2019-04-08,0.047761766401579225
2019-04-09,0.04015303034724939
2019-04-10,0.049450925909496374
2019-04-11,0.057153873866791605
2019-04-12,0.024310791477484675
2019-04-15,0.03273445203421277
2019-04-16,0.0037508925907294433
2019-04-17,0.04386482399751841
2019-04-18,0.14753853099292952
2019-04-22,0.03805749941107381
2019-04-23,0.23493809326441606
2019-04-24,0.05772867148394621
2019-04-25,0.094473467213966
2019-04-26,0.4718966745030788
2019-04-29,0.47269492081160724
2019-04-30,0.022232493544832692
2019-05-01,0.10566028371142455
2019-05-02,0.25568118492653513
2019-05-03,0.33564918295882207
2019-05-06,0.30849349528423975
2019-05-07,0.014428453451491324
2019-05-08,0.4205087688405213
2019-05-09,0.012568349422950792
2019-05-10,0.012974955724581183
2019-05-13,0.10453723957072134
2019-05-14,0.14623701917076046
2019-05-15,0.008024146000857449
2019-05-16,0.08279522608065593
2019-05-17,0.04279051439530876
2019-05-20,0.028111525101120236
2019-05-21,0.01579016731154191
2019-05-22,0.05703006632570795
2019-05-23,0.6213779483412624
2019-05-24,0.48703941494994296
2019-05-28,0.5406307084870212
2019-05-29,0.05998632841633708
2019-05-30,0.044153156077068476
2019-05-31,0.08099289088994134
2019-06-03,0.23494230696263954
2019-06-04,0.04926144527554391
2019-06-05,0.04695236970921582
2019-06-06,0.0345044609398201
2019-06-07,0.03580443704706111
2019-06-10,0.10569681889613228
2019-06-11,0.08290336801320537
2019-06-12,0.10732447826067845
2019-06-13,0.01613999616746445
2019-06-14,0.03426231864069852
2019-06-17,0.016085544813714325
2019-06-18,0.028001718815676174
2019-06-19,0.018915879991433404
2019-06-20,0.06269662408922141
2019-06-21,0.07749079445424645
2019-06-24,0.20353623098256923
2019-06-25,0.028825673885001887
2019-06-26,0.03986341859907429
2019-06-27,0.04980364927213432
2019-06-28,0.00888217913189103
2019-07-01,0.30944870958839815
2019-07-02,0.08405687780892168
2019-07-03,0.11026068000446865
2019-07-05,0.06257679750764074
2019-07-08,0.07660193545935373
2019-07-09,0.04853819809381272
2019-07-10,0.034870661466944564
2019-07-11,0.04172192584869578
2019-07-12,0.07820737900361846
2019-07-15,0.07085005664913738
2019-07-16,0.011722019668072549
2019-07-17,0.012941833960418078
2019-07-18,0.08102710584042858
2019-07-19,0.0768396243698918
2019-07-22,0.023627044135981178
2019-07-23,0.04880119851658196
2019-07-24,0.043600769149064085
2019-07-25,0.09630968836479487
2019-07-26,0.06796290078015847
2019-07-29,0.0328894675334703
2019-07-30,0.0018873179276208338
2019-07-31,0.04170179494732644
2019-08-01,0.10089704640548389
2019-08-02,0.3895298341931879
2019-08-05,0.09016533300079185
2019-08-06,0.29115647908843256
2019-08-07,0.16714300579886052
2019-08-08,0.011095575599317543
2019-08-09,0.15535119615988788
2019-08-12,0.06401887309758593
2019-08-13,0.08638865676328762
2019-08-14,0.18958159374642009
2019-08-15,0.03619302369780056
2019-08-16,0.6770376860896059
2019-08-19,0.08848271671167526
2019-08-20,0.6256493714753282
2019-08-21,0.00870937243012132
2019-08-22,0.010167573548113776
2019-08-23,0.018509249351950294
2019-08-26,0.014869278749004275
2019-08-27,0.02212473661919856
2019-08-28,0.006991995261589404
2019-08-29,0.015738276212938565
2019-08-30,0.06422694899086132
2019-09-03,0.01864630846026484
2019-09-04,0.04294986692177273
2019-09-05,0.004541310421444615
2019-09-06,0.06002370105530263
2019-09-09,0.0337256521671527
2019-09-10,0.011008793799594685
2019-09-11,0.009985223997954332
2019-09-12,0.08502925344675111
2019-09-13,0.07247789490086728
2019-09-16,0.0037876471116360527
2019-09-17,0.023274950607285932
2019-09-18,0.014879107211344
2019-09-19,0.001912073058852437
2019-09-20,0.02174050023039778
2019-09-23,0.006066786305936295
2019-09-24,0.11720081128574938
2019-09-25,0.0505806967510149
2019-09-26,0.5199350975843304
2019-09-27,0.012008719774318367
2019-09-30,0.06492355244816828
2019-10-01,0.05244845721891498
2019-10-02,0.05433380850832307
2019-10-03,0.04538767536136662
2019-10-04,0.17133014835881322
2019-10-07,0.10884480818702809
2019-10-08,0.029473443152611023
2019-10-09,0.07479036907632865
2019-10-10,0.015054572638977526
