date,transaction_cost
2019-01-03,1061.879999998938
2019-01-04,80.44010821499475
2019-01-07,286.0825836667376
2019-01-08,419.87608028870125
2019-01-09,1683.8411301820352
2019-01-10,695.65229053018
2019-01-11,230.1136312177125
2019-01-14,383.4330193557709
2019-01-15,240.63661672052328
2019-01-16,114.90731472333799
2019-01-17,822.9432416855765
2019-01-18,195.56072152158936
2019-01-22,344.5474137251229
2019-01-23,23.807160928521967
2019-01-24,717.1538055536867
2019-01-25,867.057934408903
2019-01-28,468.59217748829457
2019-01-29,227.1527834203812
2019-01-30,201.18822853026077
2019-01-31,104.30387664717836
2019-02-01,95.84849450802301
2019-02-04,488.2897911993031
2019-02-05,398.27189490158725
2019-02-06,78.34649116049769
2019-02-07,227.7778996954507
2019-02-08,419.20302878140393
2019-02-11,350.72253851993014
2019-02-12,229.0413459080344
2019-02-13,344.9241179164265
2019-02-14,70.72124487656708
2019-02-15,110.89605311218406
2019-02-19,84.04251232902904
2019-02-20,629.0062197503511
2019-02-21,599.3051301622402
2019-02-22,617.4790280609233
2019-02-25,340.5725032369894
2019-02-26,331.03770263773356
2019-02-27,486.48618931032905
2019-02-28,773.0382876578609
2019-03-01,0.0
2019-03-04,0.0
2019-03-05,31.690693193721746
2019-03-06,213.15690196311226
2019-03-07,107.29369696987709
2019-03-08,882.6203099679453
2019-03-11,469.145543215236
2019-03-12,352.7995080234322
2019-03-13,584.3596817355583
2019-03-14,3.4671780248650514
2019-03-15,256.23673832492966
2019-03-18,111.63205339979247
2019-03-19,68.27317788991961
2019-03-20,351.36365387939077
2019-03-21,960.7019424674055
2019-03-22,245.1375654733635
2019-03-25,717.8672121806295
2019-03-26,64.83081449590057
2019-03-27,155.06493488259463
2019-03-28,126.34361590407478
2019-03-29,31.542841234871354
2019-04-01,81.26602183830441
2019-04-02,264.717326433296
2019-04-03,14.158135970715852
2019-04-04,183.08252472358052
2019-04-05,119.29817016632963
2019-04-08,52.742531328518304
2019-04-09,120.85158313919706
2019-04-10,278.5678882930951
2019-04-11,349.4003546800377
2019-04-12,33.73404800953156
2019-04-15,292.3651035550201
2019-04-16,332.7133038742951
2019-04-17,239.5278200898422
2019-04-18,239.17810668820727
2019-04-22,65.18056493644248
2019-04-23,668.8824799666745
2019-04-24,106.97167227911136
2019-04-25,181.02536207992324
2019-04-26,357.1244893125166
2019-04-29,64.02298702683015
2019-04-30,163.04228189072685
2019-05-01,205.3019437023869
2019-05-02,181.7983016475744
2019-05-03,202.4157727943592
2019-05-06,522.1683390256673
2019-05-07,1040.5391751573782
2019-05-08,1117.2732960529481
2019-05-09,584.1634335659629
2019-05-10,350.0134781486115
2019-05-13,583.5486048535831
2019-05-14,294.3133670118512
2019-05-15,149.28463304752228
2019-05-16,538.2143418741771
2019-05-17,112.08942937687198
2019-05-20,150.94366203268038
2019-05-21,195.39354088527244
2019-05-22,549.6923802937871
2019-05-23,721.9207162797061
2019-05-24,942.9300897578867
2019-05-28,732.6080788242031
2019-05-29,1383.1941684358978
2019-05-30,224.00330728410924
2019-05-31,22.002664636358986
2019-06-03,160.32681321233076
2019-06-04,28.30796914089317
2019-06-05,413.72168932910336
2019-06-06,438.2990987976717
2019-06-07,71.45585587956597
2019-06-10,36.57455472517457
2019-06-11,342.5522813542059
2019-06-12,298.5353724968831
2019-06-13,87.79490603221022
2019-06-14,8.78938685156319
2019-06-17,100.88812978869973
2019-06-18,512.6872277553123
2019-06-19,342.2687778189682
2019-06-20,373.92690180794466
2019-06-21,374.66998669340654
2019-06-24,1044.8327239872538
2019-06-25,387.13441618124705
2019-06-26,36.06043462935165
2019-06-27,269.44782692213835
2019-06-28,112.58530882706191
2019-07-01,565.6943848976139
2019-07-02,1042.1210570806986
2019-07-03,318.09756378037963
2019-07-05,8.70211769732905
2019-07-08,188.04366481263762
2019-07-09,1.9266566698464656
2019-07-10,395.5675675117636
2019-07-11,172.69308690921227
2019-07-12,471.8950289681397
2019-07-15,4.5711214353585605
2019-07-16,32.26213795953561
2019-07-17,106.664571789674
2019-07-18,787.6005215910101
2019-07-19,99.8182705035714
2019-07-22,168.55090630546445
2019-07-23,588.4132600111665
2019-07-24,760.6639783909357
2019-07-25,0.0
2019-07-26,0.0
2019-07-29,0.0
2019-07-30,82.47452878168662
2019-07-31,908.371127002762
2019-08-01,978.2944124900077
2019-08-02,3115.3152583602086
2019-08-05,2720.0205054616486
2019-08-06,851.8731617850276
2019-08-07,255.51145249158972
2019-08-08,187.37428438678623
2019-08-09,75.39838915050936
2019-08-12,114.80380264134145
2019-08-13,115.00989674826786
2019-08-14,114.02050191600092
2019-08-15,86.62237144898754
2019-08-16,20.336572015049363
2019-08-19,97.0904532003846
2019-08-20,68.5058662795844
2019-08-21,25.611298685426686
2019-08-22,25.593180906619473
2019-08-23,26.96640523955229
2019-08-26,23.71541084809508
2019-08-27,20.029421570550372
2019-08-28,13.54897251733382
2019-08-29,19.74705657268057
2019-08-30,1.94544413338036
2019-09-03,154.2872588195644
2019-09-04,805.9587414169373
2019-09-05,132.79364886587905
2019-09-06,951.9505380928492
2019-09-09,92.7729974064795
2019-09-10,175.28239233696672
2019-09-11,653.5751900274106
2019-09-12,904.3287938884991
2019-09-13,1586.9004137280879
2019-09-16,144.53069366816283
2019-09-17,339.65251311430325
2019-09-18,1387.6086187496178
2019-09-19,371.4609183493141
2019-09-20,493.99557452661463
2019-09-23,679.4097803465805
2019-09-24,1383.2516111329983
2019-09-25,47.59763825953627
2019-09-26,394.56142205827774
2019-09-27,1060.9752469048965
