date,SPY_weight,TLT_weight,GLD_weight,FXY_weight,diversification_ratio
2019-01-03,0.05157960422335048,0.46577797887368844,0.21039350123543035,0.2722489156675307,1.7200663394659765
2019-01-04,0.06012016320123241,0.5063773112090885,0.20613404232490307,0.2273684832647761,1.6802093919249843
2019-01-07,0.058738439101473285,0.5446921831539869,0.19061352334913115,0.20595585439540867,1.6245863260148803
2019-01-08,0.0589747056758675,0.540982551201466,0.1946760325633258,0.20536671055934072,1.6303554673132694
2019-01-09,0.06380925408745121,0.5457382357106558,0.19345272741522418,0.1969997827866688,1.626210365772116
2019-01-10,0.06304635262867993,0.5412159534189314,0.19150117529239696,0.2042365186599917,1.6323951476479788
2019-01-11,0.06684683114768719,0.5394282280262356,0.18784530998611826,0.20587963083995897,1.6370941005864428
2019-01-14,0.06606548359881903,0.5443754796359603,0.18737743539028937,0.20218160137493127,1.6293107054455807
2019-01-15,0.06491004168869617,0.5296520212862261,0.19229216711794356,0.21314576990713413,1.6503538333413295
2019-01-16,0.06861339078404063,0.5348712568283754,0.19735199653655766,0.1991633558510263,1.6453046151454416
2019-01-17,0.0708628500160628,0.5340631391225185,0.2009252896340312,0.1941487212273876,1.647758021552051
2019-01-18,0.06946332818701424,0.5459678877601466,0.19621162510120937,0.18835715895162974,1.6289075350421816
2019-01-22,0.06372929153777847,0.6001355108271225,0.16942971193826137,0.16670548569683766,1.5417103984911924
2019-01-23,0.05448897475896693,0.17722540674509626,0.5800364964687024,0.18824912202723457,1.5689137061239353
2019-01-24,0.06113004773949481,0.15964958326772957,0.6107901631595861,0.1684302058331895,1.5238198427317693
2019-01-25,0.06244667728640211,0.14401633534627944,0.6234428166815396,0.17009417068577892,1.503711344216841
2019-01-28,0.12849393354611754,0.17089229218655502,0.4944372571820955,0.20617651708523202,1.7337199073332852
2019-01-29,0.12179434038329544,0.1618848719015811,0.5193728488026015,0.19694793891252202,1.6913303337711074
2019-01-30,0.11819795415508738,0.17287915571202075,0.49457844952436425,0.21434444060852761,1.7292620080839678
2019-01-31,0.10887275447626733,0.19029254968829337,0.46368766309870657,0.23714703273673274,1.7696773133219592
2019-02-01,0.12185031497203991,0.5281861321905744,0.1407780108521353,0.20918554198525038,1.6727059810386942
2019-02-04,0.11956437475481856,0.44379521358245294,0.13225171919978826,0.3043886924629402,1.763932295527216
2019-02-05,0.14969857223510577,0.3827527468564554,0.12876337181060307,0.3387853090978358,1.8249365718723767
2019-02-06,0.15243479375210686,0.3662577890819785,0.13189349844561932,0.3494139187202953,1.835350241680624
2019-02-07,0.15177378042835163,0.36417123645177757,0.12462264953388812,0.3594323335859827,1.8245915815185192
2019-02-08,0.123137816604576,0.3101291263751157,0.1159528841843966,0.4507801728359117,1.7461001411389996
2019-02-11,0.11496973036574894,0.3155501835857532,0.11755738316641128,0.4519227028820866,1.7385551964072161
2019-02-12,0.12513028937734508,0.3340593402514087,0.11989714019119509,0.42091323018005117,1.7711005793653676
2019-02-13,0.12432303680051501,0.3466892076606282,0.10709056088219347,0.4218971946566633,1.753805088808839
2019-02-14,0.13136014558228537,0.3422997362860296,0.10658971334342085,0.4197504047882642,1.7623331170534078
2019-02-15,0.14807676243727888,0.37170755058458205,0.11098456535814945,0.36923112161998967,1.799707158266209
2019-02-19,0.13995593602229228,0.36523452827134706,0.11019415317873994,0.38461538252762073,1.7872660836804823
2019-02-20,0.10416482468330333,0.19608795116715366,0.16640309926294805,0.533344124886595,1.663327786358318
2019-02-21,0.1239453073939883,0.19488926596780923,0.1451979571824347,0.5359674694557678,1.6627733139290362
2019-02-22,0.11367658862326502,0.1792455251860172,0.11223763102402307,0.5948402551666947,1.5589197753843564
2019-02-25,0.11394717557734757,0.1818127952348783,0.11443870927194855,0.5898013199158255,1.567479631985822
2019-02-26,0.12497493614531914,0.13525099474524177,0.09470240331365991,0.6450716657957791,1.4760287236893224
2019-02-27,0.15343969098585775,0.13994882028659045,0.1026416068469695,0.6039698818805823,1.5458991447784645
2019-02-28,0.16461401061271794,0.12153610547820769,0.10496145085061583,0.6088884330584585,1.536406804650487
2019-03-01,0.20366594703143132,0.09642235474921,0.08483441100504042,0.6150772872143182,1.5139459213937771
2019-03-04,0.2267688167198483,0.09319438778078619,0.057345619807370476,0.6226911756919951,1.4888238473668294
2019-03-05,0.21793422782321384,0.08321149894754103,0.0553176839660326,0.6435365892632126,1.4561442973097072
2019-03-06,0.2159058245397642,0.08576091432887667,0.056252907354087826,0.6420803537772712,1.459579015676881
2019-03-07,0.20888145126129345,0.08675548978696528,0.056967721106667216,0.6473953378450741,1.4532120583037662
2019-03-08,0.20915254630823799,0.13870110936168986,0.14570695798803535,0.5064393863420368,1.71323784223949
2019-03-11,0.2384270987541547,0.08864552909096711,0.05448826699822186,0.6184391051566563,1.490477817407651
2019-03-12,0.18598946551310977,0.10061171880263563,0.06066935372337247,0.6527294619608821,1.4517912356292062
2019-03-13,0.17221072923898362,0.08660784557547484,0.05401619395085745,0.6871652312346841,1.3971724228699653
2019-03-14,0.1978678724504647,0.08690509603324792,0.05164362088417751,0.6635834106321099,1.4289882332032877
2019-03-15,0.20671042516599522,0.09035503014268163,0.051446988551007614,0.6514875561403155,1.446428357364708
2019-03-18,0.1898439424157175,0.0889031747110998,0.05194117118121062,0.6693117116919721,1.4218831974820276
2019-03-19,0.21722753955501942,0.08561907647139327,0.05169407188750281,0.6454593120860845,1.452775836962314
2019-03-20,0.2136872439255625,0.08270128744606751,0.06370136662719407,0.6399101020011759,1.4648268301581011
