Date,portfolio_values,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2022-07-18,779648.8420638404,-8.25%,14.39%,-0.78,-40.19%
2022-07-19,788724.667036844,-8.25%,14.39%,-0.78,-40.19%
2022-07-20,792438.6756975643,-8.25%,14.39%,-0.78,-40.19%
2022-07-21,803074.5861998688,-8.25%,14.39%,-0.78,-40.19%
2022-07-22,804754.6645502688,-8.25%,14.39%,-0.78,-40.19%
2022-07-25,800668.7737729101,-8.25%,14.39%,-0.78,-40.19%
2022-07-26,797952.6369781118,-8.25%,14.39%,-0.78,-40.19%
2022-07-27,798282.1571144648,-8.25%,14.39%,-0.78,-40.19%
2022-07-28,805750.6937640349,-8.25%,14.39%,-0.78,-40.19%
2022-07-29,811392.9783979126,-8.25%,14.39%,-0.78,-40.19%
2022-08-01,815399.7894553754,-8.25%,14.39%,-0.78,-40.19%
2022-08-02,805215.2329846955,-8.25%,14.39%,-0.78,-40.19%
2022-08-03,817356.1895075649,-8.25%,14.39%,-0.78,-40.19%
2022-08-04,816538.1883745053,-8.25%,14.39%,-0.78,-40.19%
2022-08-05,806956.1811277008,-8.25%,14.39%,-0.78,-40.19%
2022-08-08,810109.4390444971,-8.25%,14.39%,-0.78,-40.19%
2022-08-09,807003.8134579862,-8.25%,14.39%,-0.78,-40.19%
2022-08-10,816883.7379425395,-8.25%,14.39%,-0.78,-40.19%
2022-08-11,816079.0316746915,-8.25%,14.39%,-0.78,-40.19%
2022-08-12,827490.9106243004,-8.25%,14.39%,-0.78,-40.19%
2022-08-15,825451.9539700258,-8.25%,14.39%,-0.78,-40.19%
2022-08-16,826117.2322750867,-8.25%,14.39%,-0.78,-40.19%
2022-08-17,820210.7823247351,-8.25%,14.39%,-0.78,-40.19%
2022-08-18,821357.4027717279,-8.25%,14.39%,-0.78,-40.19%
2022-08-19,809816.9183648308,-8.25%,14.39%,-0.78,-40.19%
2022-08-22,792954.7930992317,-8.25%,14.39%,-0.78,-40.19%
2022-08-23,791036.4496984804,-8.25%,14.39%,-0.78,-40.19%
2022-08-24,793568.6890238684,-8.25%,14.39%,-0.78,-40.19%
2022-08-25,804476.2019068723,-8.25%,14.39%,-0.78,-40.19%
2022-08-26,777181.5055084468,-8.25%,14.39%,-0.78,-40.19%
2022-08-29,772042.4851896162,-8.25%,14.39%,-0.78,-40.19%
2022-08-30,763567.206665497,-8.25%,14.39%,-0.78,-40.19%
2022-08-31,757757.3240232639,-8.25%,14.39%,-0.78,-40.19%
2022-09-01,760134.9092223321,-8.25%,14.39%,-0.78,-40.19%
2022-09-02,752119.6242601905,-8.25%,14.39%,-0.78,-40.19%
2022-09-06,749281.7998744952,-8.25%,14.39%,-0.78,-40.19%
2022-09-07,762742.6447177951,-8.25%,14.39%,-0.78,-40.19%
2022-09-08,767728.1496308129,-8.25%,14.39%,-0.78,-40.19%
2022-09-09,779655.0071330674,-8.25%,14.39%,-0.78,-40.19%
2022-09-12,788034.4920439593,-8.25%,14.39%,-0.78,-40.19%
2022-09-13,753768.8095617587,-8.25%,14.39%,-0.78,-40.19%
2022-09-14,756645.1356112318,-8.25%,14.39%,-0.78,-40.19%
2022-09-15,748054.6591265904,-8.25%,14.39%,-0.78,-40.19%
2022-09-16,742347.7546185764,-8.25%,14.39%,-0.78,-40.19%
2022-09-19,748104.7051488854,-8.25%,14.39%,-0.78,-40.19%
2022-09-20,739517.4217846848,-8.25%,14.39%,-0.78,-40.19%
2022-09-21,726617.5222342253,-8.25%,14.39%,-0.78,-40.19%
2022-09-22,720514.0567299152,-8.25%,14.39%,-0.78,-40.19%
2022-09-23,708442.0350599232,-8.25%,14.39%,-0.78,-40.19%
2022-09-26,701433.6883475892,-8.25%,14.39%,-0.78,-40.19%
2022-09-27,699642.9618418626,-8.25%,14.39%,-0.78,-40.19%
2022-09-28,713409.3637488934,-8.25%,14.39%,-0.78,-40.19%
2022-09-29,698507.0092450096,-8.25%,14.39%,-0.78,-40.19%
2022-09-30,687705.665292012,-8.25%,14.39%,-0.78,-40.19%
2022-10-03,705861.8095251826,-8.25%,14.39%,-0.78,-40.19%
2022-10-04,727734.1932961096,-8.25%,14.39%,-0.78,-40.19%
2022-10-05,721520.6049031621,-8.25%,14.39%,-0.78,-40.19%
2022-10-06,720707.9622256595,-8.25%,14.39%,-0.78,-40.19%
2022-10-07,712806.9480346274,-8.25%,14.39%,-0.78,-40.19%
2022-10-10,701971.2300949572,-8.25%,14.39%,-0.78,-40.19%
2022-10-11,700526.5090378271,-8.25%,14.39%,-0.78,-40.19%
2022-10-12,704273.8554639677,-8.25%,14.39%,-0.78,-40.19%
2022-10-13,699397.7927248224,-8.25%,14.39%,-0.78,-40.19%
2022-10-14,690684.0669649108,-8.25%,14.39%,-0.78,-40.19%
2022-10-17,692670.6186984192,-8.25%,14.39%,-0.78,-40.19%
2022-10-18,694160.5324985504,-8.25%,14.39%,-0.78,-40.19%
2022-10-19,684859.9211020124,-8.25%,14.39%,-0.78,-40.19%
2022-10-20,683776.3286406323,-8.25%,14.39%,-0.78,-40.19%
2022-10-21,695966.4510428074,-8.25%,14.39%,-0.78,-40.19%
2022-10-24,702394.6978113985,-8.25%,14.39%,-0.78,-40.19%
2022-10-25,713611.0148092492,-8.25%,14.39%,-0.78,-40.19%
2022-10-26,708234.5759189365,-8.25%,14.39%,-0.78,-40.19%
2022-10-27,704452.5027459589,-8.25%,14.39%,-0.78,-40.19%
2022-10-28,721211.9974185793,-8.25%,14.39%,-0.78,-40.19%
2022-10-31,716002.5338216379,-8.25%,14.39%,-0.78,-40.19%
2022-11-01,712869.3819817867,-8.25%,14.39%,-0.78,-40.19%
2022-11-02,694979.0199362847,-8.25%,14.39%,-0.78,-40.19%
2022-11-03,687822.910594421,-8.25%,14.39%,-0.78,-40.19%
2022-11-04,697722.8189762604,-8.25%,14.39%,-0.78,-40.19%
2022-11-07,704397.0414055975,-8.25%,14.39%,-0.78,-40.19%
2022-11-08,708197.4440194197,-8.25%,14.39%,-0.78,-40.19%
2022-11-09,694954.9853488948,-8.25%,14.39%,-0.78,-40.19%
2022-11-10,731526.1770567754,-8.25%,14.39%,-0.78,-40.19%
2022-11-11,736589.8581380742,-8.25%,14.39%,-0.78,-40.19%
2022-11-14,731171.6305137717,-8.25%,14.39%,-0.78,-40.19%
2022-11-15,732842.3767826427,-8.25%,14.39%,-0.78,-40.19%
2022-11-16,730942.4216478379,-8.25%,14.39%,-0.78,-40.19%
2022-11-17,724255.4146859047,-8.25%,14.39%,-0.78,-40.19%
2022-11-18,719274.6601329147,-8.25%,14.39%,-0.78,-40.19%
2022-11-21,718339.4570676322,-8.25%,14.39%,-0.78,-40.19%
2022-11-22,725590.3792505747,-8.25%,14.39%,-0.78,-40.19%
2022-11-23,735216.8477658266,-8.25%,14.39%,-0.78,-40.19%
2022-11-25,733665.47954067,-8.25%,14.39%,-0.78,-40.19%
2022-11-28,730426.2439140029,-8.25%,14.39%,-0.78,-40.19%
2022-11-29,726934.3975094768,-8.25%,14.39%,-0.78,-40.19%
2022-11-30,732368.1531165673,-8.25%,14.39%,-0.78,-40.19%
2022-12-01,748181.6752233483,-8.25%,14.39%,-0.78,-40.19%
2022-12-02,748567.8561064949,-8.25%,14.39%,-0.78,-40.19%
2022-12-05,736139.0813098344,-8.25%,14.39%,-0.78,-40.19%
2022-12-06,744399.6194788127,-8.25%,14.39%,-0.78,-40.19%
2022-12-07,761939.4306438699,-8.25%,14.39%,-0.78,-40.19%
2022-12-08,759851.3065474378,-8.25%,14.39%,-0.78,-40.19%
2022-12-09,740084.1150967451,-8.25%,14.39%,-0.78,-40.19%
2022-12-12,742450.6916764493,-8.25%,14.39%,-0.78,-40.19%
2022-12-13,749619.7799820558,-8.25%,14.39%,-0.78,-40.19%
2022-12-14,752821.5942213059,-8.25%,14.39%,-0.78,-40.19%
2022-12-15,755758.7318583664,-8.25%,14.39%,-0.78,-40.19%
2022-12-16,747316.3328747908,-8.25%,14.39%,-0.78,-40.19%
2022-12-19,734757.5808334919,-8.25%,14.39%,-0.78,-40.19%
2022-12-20,722644.3721036175,-8.25%,14.39%,-0.78,-40.19%
2022-12-21,717648.1190335301,-8.25%,14.39%,-0.78,-40.19%
2022-12-22,717389.5613246927,-8.25%,14.39%,-0.78,-40.19%
2022-12-23,714074.9882948733,-8.25%,14.39%,-0.78,-40.19%
2022-12-27,710702.5974792094,-8.25%,14.39%,-0.78,-40.19%
2022-12-28,705368.2007442159,-8.25%,14.39%,-0.78,-40.19%
2022-12-29,709410.7423999242,-8.25%,14.39%,-0.78,-40.19%
2022-12-30,717009.7057566545,-8.25%,14.39%,-0.78,-40.19%
2023-01-03,718724.05652614,-8.25%,14.39%,-0.78,-40.19%
2023-01-04,720788.3762444655,-8.25%,14.39%,-0.78,-40.19%
2023-01-05,711414.4427843724,-8.25%,14.39%,-0.78,-40.19%
2023-01-06,724723.2262260233,-8.25%,14.39%,-0.78,-40.19%
2023-01-09,726350.3150808265,-8.25%,14.39%,-0.78,-40.19%
2023-01-10,729020.411244096,-8.25%,14.39%,-0.78,-40.19%
2023-01-11,728519.7244471546,-8.25%,14.39%,-0.78,-40.19%
2023-01-12,736947.2413243956,-8.25%,14.39%,-0.78,-40.19%
