Date,portfolio_values,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2022-03-30,96288.07222413474,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-31,96735.3737885445,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-01,96431.26949469808,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-04,96281.22077926692,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-05,96392.72213678653,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-06,95228.69530587256,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-07,94831.73500276792,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-08,94834.16477115902,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-11,94574.75618936743,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-12,93725.4335472718,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-13,93798.68642934877,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-14,94161.37731177098,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-18,93271.269115257,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-19,93042.94929755409,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-20,92542.80520471878,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-21,93320.95278099226,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-22,92602.01350685126,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-25,91551.60942812245,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-26,91599.24776693051,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-27,91317.27730936703,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-28,90757.84788518812,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-04-29,91024.39640067559,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-02,90082.82469288615,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-03,89332.4623988651,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-04,89660.09703197115,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-05,90863.90323001123,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-06,89181.5862166294,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-09,88676.40211124241,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-10,87896.2572614464,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-11,87927.14289225814,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-12,88260.68252862057,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-13,88118.35092135407,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-16,87983.6831816575,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-17,88114.89346593972,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-18,88114.92541982897,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-19,87912.17769337879,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-20,88237.50734964512,-0.51%,9.97%,-0.35,-0.22874370712909076
