date,portfolio_value,portfolio_value_MACD,portfolio_value_Signal,portfolio_value_RSI,portfolio_value_ATR,portfolio_value_ADX
2019-01-02,1004917.4353053394,392.27404145151377,78.45480829030276,,,
2019-01-03,1008225.1270783764,959.0023459484801,254.56431582193824,,,
2019-01-04,1010728.3520125736,1591.778905807063,522.0072338189632,,,
2019-01-07,1012033.5467472619,2173.5221847504145,852.3102240052535,,,
2019-01-08,1013582.9100129439,2728.130402441486,1227.4742596925,,,
2019-01-09,1014467.04829239,3202.0922545205103,1622.397858658102,,,
2019-01-10,1018645.2011868103,3870.2387540857308,2071.9660377436276,,,
2019-01-11,1015426.8063397643,4092.8720208859304,2476.147234372088,,,
2019-01-14,1016665.5843474924,4319.477275879821,2844.8132426736347,,,
2019-01-15,1015554.350845397,4359.146785740624,3147.679951287033,,,
2019-01-16,1015978.0711567535,4374.351050090278,3393.014171047682,,,
2019-01-17,1016965.5514539569,4415.186425638618,3597.4486219658693,,,
2019-01-18,1018073.7879231039,4485.270766691072,3775.01305091091,83.80420782420836,10129.474123358594,
2019-01-22,1016661.6004549754,4376.412822574261,3895.2930052435804,79.59933036256997,10141.375266540712,
2019-01-23,1016524.5970496058,4230.322562537971,3962.298916702459,74.83899209516883,10149.666096358045,
2019-01-24,1016216.4895549475,4043.077201824286,3978.4545737268245,69.62012706231415,10155.37421241273,
2019-01-25,1017592.439265853,3960.062412370695,3974.776141455599,67.83997405087527,10160.277131879353,
2019-01-28,1022507.9668594565,4242.015278101899,4028.223968784859,72.92168835151665,10167.758860530914,
2019-01-29,1021469.245800637,4331.7155268675415,4088.922280401396,67.65257843967677,10173.39195752212,
2019-01-30,1023970.274060951,4552.141445932677,4181.5661135076525,69.83597509901183,10180.179975928224,
2019-01-31,1030295.273299568,5177.52190359775,4380.757271525672,72.31697637894855,10272.324518302989,
2019-02-01,1034867.1452953422,5973.196986575378,4699.245214535613,85.40420477238068,10286.210474699836,
2019-02-04,1031611.9664490762,6268.846138077206,5013.1653992439315,75.35756764057649,10296.886461915248,
2019-02-05,1030091.7746085575,6307.771381883882,5272.086595771922,74.32617891044865,10307.270336031797,
2019-02-06,1032893.5232593915,6489.886250096606,5515.646526636859,76.21881436265693,10319.3528018194,
2019-02-07,1030935.918013046,6402.447779613547,5693.006777232197,71.0217532598152,10329.331635075887,49.0548074881173
2019-02-08,1030987.2093502972,6265.071104233968,5807.4196426325525,70.06971495069222,10338.555507523872,47.10331296258753
2019-02-11,1033499.8785285298,6286.483830285724,5903.232480163187,75.30405715055791,10350.582849004988,46.49307289522984
2019-02-12,1029963.435399357,5949.509917824878,5912.487967695525,68.32335647127849,10360.182019254824,45.56629559560896
