date,transaction_cost
2019-01-03,715.8537006513004
2019-01-04,146.53929650179663
2019-01-07,114.14735988473022
2019-01-08,12.78603062387336
2019-01-09,28.584325412146754
2019-01-10,21.457169983997225
2019-01-11,16.17615670877357
2019-01-14,14.681354335667665
2019-01-15,47.00587564193305
2019-01-16,41.41957236326649
2019-01-17,17.24717216923045
2019-01-18,35.10080511567905
2019-01-22,160.33768185785996
2019-01-23,1278.2002647789725
2019-01-24,110.49050832067546
2019-01-25,46.595457834788924
2019-01-28,385.1565381585713
2019-01-29,74.68310799537352
2019-01-30,85.49699462844035
2019-01-31,121.42910180993566
2019-02-01,1055.8934403410224
2019-02-04,285.346462971956
2019-02-05,193.8866826884181
2019-02-06,49.50700030622183
2019-02-07,30.11318875652433
2019-02-08,275.21672638167837
2019-02-11,24.500182764040797
2019-02-12,93.06734078620295
2019-02-13,40.71475535638427
2019-02-14,21.13671290729729
2019-02-15,152.1315965016047
2019-02-19,46.4286314902337
2019-02-20,617.3999583666504
2019-02-21,67.23282046273562
2019-02-22,177.1506793118638
2019-02-25,15.116674101978402
2019-02-26,199.60940838988674
2019-02-27,123.13029370301159
2019-02-28,54.92793736433092
2019-03-01,134.35300462507837
2019-03-04,91.30772392501453
2019-03-05,61.879559301084754
2019-03-06,10.343420986894799
2019-03-07,20.837256470856694
2019-03-08,419.53728827330764
2019-03-11,420.9114783254425
2019-03-12,156.4888607301492
2019-03-13,102.98663794963329
2019-03-14,77.18494820311793
2019-03-15,36.67846389768238
2019-03-18,54.7377993379911
2019-03-19,81.79546662433917
2019-03-20,36.05957775545324
2019-03-21,140.62352464298547
2019-03-22,627.7535211406259
2019-03-25,219.87294888666705
2019-03-26,71.58786836487003
2019-03-27,31.89485835891165
2019-03-28,81.4178723219435
2019-03-29,101.52956231760614
2019-04-01,138.92862885376042
2019-04-02,147.84030805403944
2019-04-03,16.752833297238176
2019-04-04,46.96417832432051
2019-04-05,62.11678995999124
2019-04-08,71.53684951543653
2019-04-09,60.26518806197668
2019-04-10,74.38364327253055
2019-04-11,85.39113278710832
2019-04-12,36.29609617278709
2019-04-15,48.8521984595796
2019-04-16,5.577216907724483
2019-04-17,65.14696590261374
2019-04-18,219.45897384644425
2019-04-22,56.585510200301925
2019-04-23,349.98448749836996
2019-04-24,85.86806240967334
2019-04-25,140.85300367454727
2019-04-26,705.1544206663164
2019-04-29,704.9203532515334
2019-04-30,33.202595618124775
2019-05-01,157.40157457825953
2019-05-02,380.13532375693495
2019-05-03,501.6877765135422
2019-05-06,460.98091453564393
2019-05-07,21.553885397555714
2019-05-08,627.9825767513239
2019-05-09,18.798229259320767
2019-05-10,19.401837404605413
2019-05-13,156.5268013351366
2019-05-14,218.82306666562278
2019-05-15,12.010432149359865
2019-05-16,123.6861807663595
2019-05-17,63.77699063632914
2019-05-20,41.86744600308119
2019-05-21,23.427128133619043
2019-05-22,84.79071300454014
2019-05-23,928.7771525906142
2019-05-24,728.6895143286911
2019-05-28,807.0744061286875
2019-05-29,89.43051792473769
2019-05-30,66.172553500387
2019-05-31,122.53214226319258
2019-06-03,357.39340772180583
2019-06-04,74.68249613577937
2019-06-05,71.03622241162432
2019-06-06,52.340097411356474
2019-06-07,54.66945665551232
2019-06-10,160.51876697938982
2019-06-11,125.89522412663295
2019-06-12,163.0503361514782
2019-06-13,24.594140506977826
2019-06-14,52.228767991747226
2019-06-17,24.531487124329434
2019-06-18,42.92910446051141
2019-06-19,29.060707069227213
2019-06-20,97.0845556299852
2019-06-21,119.52078775748136
2019-06-24,315.1134005886962
2019-06-25,44.59585136079894
2019-06-26,61.34399059924482
2019-06-27,76.87028555811588
2019-06-28,13.726111818902426
2019-07-01,476.82689643123274
2019-07-02,130.2572493060959
2019-07-03,171.46527377057424
2019-07-05,96.66060856551017
2019-07-08,117.99426237131614
2019-07-09,74.74769033637574
2019-07-10,53.85978422178778
2019-07-11,64.26501516502486
2019-07-12,120.99006411170828
2019-07-15,109.66673183829192
2019-07-16,18.07513735221021
2019-07-17,19.98868127651943
2019-07-18,125.8170122453564
2019-07-19,118.7032609563522
2019-07-22,36.51751369810799
2019-07-23,75.4417631094376
2019-07-24,67.60048339454156
2019-07-25,148.59705561470759
2019-07-26,105.17966357136474
2019-07-29,50.87344986546981
2019-07-30,2.9219282779928295
2019-07-31,64.29126471474382
2019-08-01,156.67746166128586
2019-08-02,606.0515758338153
2019-08-05,138.91072203843086
2019-08-06,452.27730298277055
2019-08-07,260.0026217945241
2019-08-08,17.37582389383189
2019-08-09,242.90986001900453
2019-08-12,100.91734478708878
2019-08-13,135.68290113727357
2019-08-14,299.2762997858035
2019-08-15,57.43782851177512
2019-08-16,1072.8544503280693
2019-08-19,139.37027335512568
2019-08-20,989.5993805763774
2019-08-21,13.728334798511577
2019-08-22,16.036023697568357
2019-08-23,29.403435544132865
2019-08-26,23.514486830055624
2019-08-27,35.13182960022437
2019-08-28,11.07642228331667
2019-08-29,24.891746357319093
2019-08-30,101.71381094263998
2019-09-03,29.59590052850988
2019-09-04,68.1395806346399
2019-09-05,7.15521031440992
2019-09-06,94.66062660501709
2019-09-09,53.02856006937927
2019-09-10,17.252656879756422
2019-09-11,15.629854933244403
2019-09-12,132.86909039788154
2019-09-13,113.1123720173837
2019-09-16,5.91414451645301
2019-09-17,36.32906130536962
2019-09-18,23.18524306651527
2019-09-19,2.9870780965884283
2019-09-20,34.07239283850427
2019-09-23,9.518623705855395
2019-09-24,184.25273262068902
2019-09-25,79.15482412957162
2019-09-26,812.6112394444311
