Date,portfolio_values,daily_return
2022-06-22,845624.0310355786,-0.001907392
2022-06-23,852637.7475584581,0.008294131
2022-06-24,857125.3951494276,0.005263252
2022-06-27,860294.6732078153,0.003697566
2022-06-28,857087.8395375831,-0.003727599
2022-06-29,852176.9379968802,-0.005729753
2022-06-30,854514.6310062062,0.002743201
2022-07-01,854728.5246672769,0.00025031
2022-07-05,859717.3045800552,0.005836684
2022-07-06,856476.8274864048,-0.003769236
2022-07-07,850057.3877360645,-0.00749517
2022-07-08,851148.8024901759,0.001283931
2022-07-11,848615.9097393006,-0.002975852
2022-07-12,846708.086,-0.002248159
2022-07-13,846238.3424485176,-0.000554788
2022-07-14,847731.0197,0.001763897
2022-07-15,840146.3354389265,-0.008947041
2022-07-18,845480.4947890795,0.006349084
2022-07-19,842420.8132967327,-0.003618867
2022-07-20,847291.3954324804,0.00578165
2022-07-21,847080.6267791546,-0.000248756
2022-07-22,857072.9014874405,0.011796132
2022-07-25,861677.2813,0.005372215
2022-07-26,858114.6747092307,-0.004134502
2022-07-27,855079.4646643697,-0.003537068
2022-07-28,862232.0740878704,0.008364848
2022-07-29,872737.4001462768,0.012183872966590403
2022-08-01,877567.5571923398,0.005534491
2022-08-02,886290.1472638507,0.009939508
2022-08-03,876330.4519972432,-0.011237511
2022-08-04,882404.3000173871,0.006931002
2022-08-05,887598.7084321004,0.005886654
2022-08-08,875853.3322884331,-0.013232755
2022-08-09,880893.3660609178,0.005754427
2022-08-10,879645.8350025124,-0.001416211
2022-08-11,886090.6918607298,0.00732665
2022-08-12,879996.4410761342,-0.006877683
2022-08-15,887411.8111,0.008426591
2022-08-16,885532.6358465492,-0.002117591
2022-08-17,884921.7737733286,-0.000689824
2022-08-18,878341.2630895397,-0.007436263
2022-08-19,877367.2207931407,-0.001108957
2022-08-22,867689.0123692028,-0.011030967
2022-08-23,859955.7235,-0.008912512
2022-08-24,860861.7985718155,0.00105363
2022-08-25,860137.9903,-0.000840795
2022-08-26,867774.8841756352,0.008878684
2022-08-29,857878.7108630674,-0.011404079
2022-08-30,852926.9705,-0.005772075
2022-08-31,849305.8974699343,-0.004245467
2022-09-01,843673.5174991174,-0.006631745
2022-09-02,836613.9728012838,-0.008367626
2022-09-06,837433.2763577692,0.000979309
2022-09-07,826560.7502194594,-0.012983155
2022-09-08,834190.9066757236,0.009231211
2022-09-09,831874.5230179135,-0.002776803
2022-09-12,838523.4593979588,0.007992715
2022-09-13,839924.4631608626,0.001670799
2022-09-14,826144.6587826207,-0.016406004
2022-09-15,828730.9979903834,0.003130613
2022-09-16,821962.0818923166,-0.008167809
2022-09-19,820610.1271568611,-0.00164479
2022-09-20,822336.3132,0.00210354
2022-09-21,816123.5546582681,-0.007555009
2022-09-22,816616.2867310804,0.000603747
2022-09-23,811799.0095,-0.005899071
2022-09-26,804268.7642055701,-0.009275997
2022-09-27,794278.6955436602,-0.012421306
2022-09-28,788765.8354651964,-0.006940713
2022-09-29,804294.1574565562,0.019686859
2022-09-30,798487.2488908535,-0.007219882
2022-10-03,792589.1341301408,-0.007386611
2022-10-04,805755.1429783996,0.016611392058394125
