Date,SPY,TLT,GLD,FXY
2010-01-04,85.0279541015625,56.76319122314453,109.80000305175781,107.18000030517578
2010-01-05,85.25304412841797,57.12977981567383,109.69999694824219,108.23999786376953
2010-01-06,85.31304168701172,56.364990234375,111.51000213623047,107.4000015258789
2010-01-07,85.6731948852539,56.45981216430664,110.81999969482422,106.47000122070312
2010-01-08,85.9582748413086,56.43454360961914,111.37000274658203,107.12000274658203
2010-01-11,86.07833862304688,56.124813079833984,112.8499984741211,107.7300033569336
2010-01-12,85.27552795410156,57.085533142089844,110.48999786376953,109.08000183105469
2010-01-13,85.99581909179688,56.42190170288086,111.54000091552734,108.51000213623047
2010-01-14,86.2283706665039,57.211936950683594,112.02999877929688,108.9000015258789
2010-01-15,85.26055145263672,57.56590270996094,110.86000061035156,109.18000030517578
2010-01-19,86.32592010498047,57.40150451660156,111.5199966430664,108.87000274658203
2010-01-20,85.44810485839844,57.982967376708984,108.94000244140625,108.75
2010-01-21,83.8050308227539,58.248497009277344,107.37000274658203,109.79000091552734
2010-01-22,81.9368667602539,58.147315979003906,107.16999816894531,110.4000015258789
2010-01-25,82.35700988769531,57.88185119628906,107.4800033569336,109.95999908447266
2010-01-26,82.01184844970703,57.90082550048828,107.55999755859375,110.69999694824219
2010-01-27,82.40202331542969,57.869239807128906,106.52999877929688,110.19999694824219
2010-01-28,81.4566879272461,57.83761978149414,106.4800033569336,110.4000015258789
2010-01-29,80.57133483886719,58.34325408935547,105.95999908447266,109.95999908447266
2010-02-01,81.82430267333984,57.81364059448242,108.3499984741211,109.44000244140625
2010-02-02,82.81466674804688,57.97856521606445,109.12999725341797,109.79000091552734
2010-02-03,82.40202331542969,57.306217193603516,108.69999694824219,109.04000091552734
2010-02-04,79.85860443115234,58.213253021240234,104.37000274658203,111.5999984741211
2010-02-05,80.0236587524414,58.34010696411133,104.68000030517578,111.0
2010-02-08,79.4459457397461,58.41621780395508,104.04000091552734,111.06999969482422
2010-02-09,80.44380950927734,57.83266830444336,105.41000366210938,110.7300033569336
2010-02-10,80.28624725341797,57.28084945678711,105.12000274658203,110.26000213623047
2010-02-11,81.12655639648438,56.970069885253906,107.12999725341797,110.58999633789062
2010-02-12,81.05904388427734,57.20476531982422,107.04000091552734,110.22000122070312
2010-02-16,82.33447265625,57.31254577636719,109.62000274658203,110.05000305175781
2010-02-17,82.7246322631836,56.6592903137207,109.25,108.77999877929688
2010-02-18,83.21228790283203,56.43094253540039,109.9800033569336,108.66999816894531
2010-02-19,83.38482666015625,56.73542022705078,109.47000122070312,108.27999877929688
2010-02-22,83.39988708496094,56.500728607177734,109.06999969482422,108.88999938964844
2010-02-23,82.38704681396484,57.38235092163086,107.88999938964844,110.0199966430664
2010-02-24,83.14476776123047,57.5218505859375,107.36000061035156,109.98999786376953
2010-02-25,83.03224182128906,57.845375061035156,108.30999755859375,111.3499984741211
2010-02-26,83.08475494384766,58.14347839355469,109.43000030517578,111.6500015258789
2010-03-01,83.94755554199219,58.11802291870117,109.43000030517578,111.33999633789062
2010-03-02,84.18016815185547,58.04167938232422,111.0199966430664,111.83000183105469
2010-03-03,84.25519561767578,57.895301818847656,111.62999725341797,112.19999694824219
2010-03-04,84.5102767944336,58.20072555541992,110.83000183105469,111.30000305175781
2010-03-05,85.71819305419922,57.43721389770508,110.80999755859375,109.75
2010-03-08,85.73320007324219,57.13816452026367,109.87999725341797,109.8499984741211
2010-03-09,85.87572479248047,57.15088653564453,109.72000122070312,110.2300033569336
2010-03-10,86.25836944580078,57.00447463989258,108.47000122070312,109.55999755859375
2010-03-11,86.61851501464844,57.21451950073242,108.5999984741211,109.54000091552734
2010-03-12,86.62600708007812,57.570796966552734,107.94999694824219,109.62999725341797
2010-03-15,86.64852905273438,57.494441986083984,108.36000061035156,109.5999984741211
2010-03-16,87.33879089355469,57.95257568359375,110.4000015258789,109.91999816894531
2010-03-17,87.85643768310547,58.20072555541992,109.58999633789062,109.87999725341797
2010-03-18,87.81143951416016,58.009822845458984,110.33999633789062,109.7699966430664
2010-03-19,87.36699676513672,58.067115783691406,108.27999877929688,109.54000091552734
2010-03-22,87.83406066894531,58.13075637817383,107.75,110.01000213623047
2010-03-23,88.45178985595703,57.857147216796875,108.31999969482422,109.66999816894531
2010-03-24,88.02237701416016,56.800899505615234,106.30000305175781,107.58999633789062
2010-03-25,87.87923431396484,56.43824768066406,106.77999877929688,106.94000244140625
2010-03-26,87.82649230957031,56.59730529785156,108.58999633789062,107.20999908447266
2010-03-29,88.38402557373047,56.38096237182617,108.75,107.25
2010-03-30,88.44426727294922,56.55911636352539,107.97000122070312,106.8499984741211
2010-03-31,88.14293670654297,56.94730758666992,108.94999694824219,106.05000305175781
2010-04-01,88.74561309814453,56.808013916015625,110.26000213623047,105.5999984741211
2010-04-05,89.46886444091797,55.86282730102539,110.88999938964844,105.12999725341797
2010-04-06,89.67980194091797,55.95220947265625,111.02999877929688,105.80000305175781
2010-04-07,89.16751098632812,56.66753005981445,112.48999786376953,106.27999877929688
2010-04-08,89.47637939453125,56.69308853149414,112.6500015258789,106.19000244140625
2010-04-09,90.06400299072266,56.82721710205078,113.63999938964844,106.4000015258789
2010-04-12,90.2071304321289,57.127376556396484,113.01000213623047,106.30000305175781
2010-04-13,90.27495574951172,57.312564849853516,112.69000244140625,106.38999938964844
2010-04-14,91.29949188232422,56.91020202636719,113.02999877929688,106.37999725341797
2010-04-15,91.37483978271484,56.97407531738281,113.6500015258789,106.52999877929688
2010-04-16,89.92086029052734,57.38922882080078,111.23999786376953,107.63999938964844
