date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2022-01-04,692.3545532226562,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-05,681.888340935413,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-06,0.17866141520292778,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-07,241.68120058192125,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-10,838.130115874059,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-11,722.0028521394435,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-12,673.1161823019373,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-13,562.4619867879962,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-14,4.01979836800032,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-18,523.5756362532654,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-19,518.8276057709419,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-20,552.6873176987672,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-21,673.9422022432386,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-24,670.7599333548711,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-25,2.1639691374086627e-05,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-26,4.3244837735550195e-05,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-27,0.0,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-28,0.0001281103615030592,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-31,0.00017088724051141354,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-01,0.2916607555497889,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-02,468.27273741063004,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
