date,turnover,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2020-01-03,0.4221398,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-06,0.049545392,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-07,0.0013059974,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-08,0.44602945,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-09,0.54550004,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-10,0.42924172,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-13,0.56024027,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-14,0.8147968,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-15,0.5919548,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-16,0.70255965,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-17,0.49231744,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-21,0.5274447,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-22,0.52744424,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-23,0.6498077,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-24,0.462117,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-27,4.4703484e-07,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-28,0.00046625733,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-29,0.00046625733,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-30,0.48027846,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-31,0.7528308,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-03,0.3811875,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-04,0.3811875,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-05,0.38113174,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-06,0.4620191,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-07,0.46207827,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-10,0.38126814,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
