Date,portfolio_values,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2022-03-30,963497.784927146,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-31,963301.5497924837,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-01,960266.1891335793,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-04,959586.4232445123,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-05,961601.7421272915,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-06,951737.5403006686,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-07,947217.8263981652,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-08,946771.3601267633,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-11,943100.8494042023,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-12,937323.7786349292,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-13,938036.6440214005,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-14,943446.837244445,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-18,936091.8105153971,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-19,934017.012951379,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-20,934653.6597861872,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-21,937805.9928938298,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-22,930939.7556127689,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-25,922305.4331719587,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-26,924297.7880587282,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-27,917990.7629677,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-28,914536.6621099818,1.24%,7.56%,-0.23,-0.1693277893517734
2022-04-29,918970.8020113105,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-02,909818.999717706,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-03,907864.324652998,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-04,909969.751348558,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-05,920551.0106575552,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-06,904872.2607783909,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-09,900239.2302649736,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-10,892674.039989726,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-11,893982.4412078235,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-12,891309.2624712118,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-13,891358.1069917065,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-16,895593.1138274871,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-17,895728.4790321076,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-18,899894.4783221958,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-19,892789.3109386741,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-20,895281.9714033548,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-23,896180.4456743987,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-24,898913.7175703516,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-25,899388.0992814912,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-26,902788.8032576464,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-27,907803.4704657089,1.24%,7.56%,-0.23,-0.1693277893517734
2022-05-31,914801.3414416461,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-01,908329.945257287,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-02,904778.5607324379,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-03,912020.5689114264,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-06,905942.4220303536,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-07,903556.3069403776,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-08,907957.9950850158,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-09,903007.4943556543,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-10,896956.4209560965,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-13,887974.529637864,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-14,869819.9796432516,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-15,865690.1494105819,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-16,875655.5410224543,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-17,871028.950833543,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-21,870098.0623169602,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-22,872293.7549834867,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-23,876346.956167414,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-24,880431.4964168326,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-27,885998.8299181911,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-28,883777.6799142136,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-29,878124.5807610913,1.24%,7.56%,-0.23,-0.1693277893517734
2022-06-30,878766.7863056184,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-01,878708.2426192045,1.24%,7.56%,-0.23,-0.1693277893517734
