Date,SPY,QQQ,IWM,AGG,TLT,IEF,GLD,UUP,FXE,FXY,FXB
2010-01-04,85.02794647216797,40.341583251953125,51.45793151855469,66.27371978759766,56.763145446777344,62.33967590332031,109.80000305175781,19.14737892150879,136.91592407226562,107.18000030517578,147.50167846679688
2010-01-05,85.2530288696289,40.341583251953125,51.28097915649414,66.57520294189453,57.1297721862793,62.613441467285156,109.69999694824219,19.139026641845703,136.53529357910156,108.23999786376953,146.53721618652344
2010-01-06,85.31305694580078,40.0982551574707,51.23273849487305,66.53675079345703,56.36495590209961,62.36078643798828,111.51000213623047,19.088905334472656,136.94448852539062,107.4000015258789,146.74842834472656
2010-01-07,85.67317962646484,40.12432098388672,51.61076354980469,66.45977020263672,56.45978546142578,62.36078643798828,110.81999969482422,19.21421241760254,136.06884765625,106.47000122070312,146.00437927246094
2010-01-08,85.95829772949219,40.454566955566406,51.892250061035156,66.4981689453125,56.43452072143555,62.437950134277344,111.37000274658203,19.08055305480957,136.96353149414062,107.12000274658203,146.8311309814453
2010-01-11,86.0783462524414,40.28945541381836,51.683135986328125,66.4468994140625,56.124813079833984,62.4801025390625,112.8499984741211,18.980300903320312,137.9437255859375,107.7300033569336,147.5200958251953
2010-01-12,85.27555084228516,39.7853889465332,51.12015151977539,66.87036895751953,57.08550262451172,62.92930221557617,110.48999786376953,18.980300903320312,137.6677703857422,109.08000183105469,148.0528564453125
2010-01-13,85.99578857421875,40.28077697753906,51.7796516418457,66.5880355834961,56.42184829711914,62.627540588378906,111.54000091552734,18.963594436645508,137.83908081054688,108.51000213623047,149.1644287109375
2010-01-14,86.22838592529297,40.315513610839844,51.97268295288086,66.76124572753906,57.211891174316406,62.92223358154297,112.02999877929688,18.913471221923828,137.7724609375,108.9000015258789,149.541015625
2010-01-15,85.26052856445312,39.84625244140625,51.21664810180664,66.88954162597656,57.56589889526367,63.2029914855957,110.86000061035156,19.02207374572754,136.62091064453125,109.18000030517578,148.93475341796875
2010-01-19,86.32593536376953,40.489341735839844,52.15766906738281,66.780517578125,57.40153503417969,63.09073257446289,111.5199966430664,19.08055305480957,135.88812255859375,108.87000274658203,150.037109375
2010-01-20,85.44808959960938,39.90706253051758,51.401641845703125,66.9537582397461,57.983001708984375,63.30830001831055,108.94000244140625,19.31446075439453,133.98460388183594,108.75,149.1368408203125
2010-01-21,83.80500030517578,39.53337097167969,50.55713653564453,66.97291564941406,58.24846267700195,63.539886474609375,107.37000274658203,19.31446075439453,133.9084014892578,109.79000091552734,148.3468475341797
2010-01-22,81.93683624267578,38.377540588378906,49.64830780029297,67.01142883300781,58.147315979003906,63.5960693359375,107.16999816894531,19.28104591369629,134.3272247314453,110.4000015258789,147.55685424804688
2010-01-25,82.35700988769531,38.50788497924805,49.70460510253906,67.00497436523438,57.88186264038086,63.455604553222656,107.4800033569336,19.255983352661133,134.44137573242188,109.95999908447266,148.71429443359375
2010-01-26,82.01187133789062,38.54264831542969,49.2139892578125,67.08842468261719,57.90085220336914,63.58202362060547,107.55999755859375,19.339523315429688,133.76568603515625,110.69999694824219,147.83238220214844
2010-01-27,82.40200805664062,38.84681701660156,49.736778259277344,67.03715515136719,57.86921691894531,63.4345703125,106.52999877929688,19.406352996826172,133.2042236328125,110.19999694824219,148.06207275390625
2010-01-28,81.4566879272461,37.847408294677734,48.884246826171875,66.97938537597656,57.837650299072266,63.41355895996094,106.4800033569336,19.439775466918945,132.7283172607422,110.4000015258789,147.69461059570312
2010-01-29,80.57137298583984,37.186920166015625,48.345359802246094,67.13333892822266,58.3432502746582,63.6591911315918,105.95999908447266,19.59014320373535,131.7100067138672,109.95999908447266,146.37179565429688
2010-02-01,81.82432556152344,37.59537124633789,48.916419982910156,67.04131317138672,57.81362533569336,63.44082260131836,108.3499984741211,19.50660514831543,132.33811950683594,109.44000244140625,146.1513214111328
2010-02-02,82.8146743774414,37.93430709838867,49.45530319213867,67.11853790283203,57.9785270690918,63.54652786254883,109.12999725341797,19.439775466918945,132.65220642089844,109.79000091552734,146.33509826660156
2010-02-03,82.40200805664062,38.142879486083984,49.125511169433594,66.99626159667969,57.306236267089844,63.243682861328125,108.69999694824219,19.548372268676758,132.0145263671875,109.04000091552734,145.59103393554688
2010-02-04,79.85861206054688,37.03917694091797,47.48479080200195,67.15715026855469,58.2132453918457,63.764835357666016,104.37000274658203,19.673683166503906,130.5393524169922,111.5999984741211,144.25901794433594
2010-02-05,80.02367401123047,37.352046966552734,47.66976547241211,67.18289184570312,58.34014892578125,63.96902084350586,104.68000030517578,19.75722312927246,129.8159942626953,111.0,143.14749145507812
2010-02-08,79.44597625732422,37.08262252807617,47.19525909423828,67.31157684326172,58.416221618652344,63.912715911865234,104.04000091552734,19.748868942260742,129.78746032714844,111.06999969482422,142.8443603515625
2010-02-09,80.44384002685547,37.46501159667969,47.84671401977539,67.18933868408203,57.83265686035156,63.567630767822266,105.41000366210938,19.62356185913086,130.88192749023438,110.7300033569336,143.77212524414062
2010-02-10,80.28627014160156,37.386783599853516,47.95932388305664,67.03485107421875,57.28083038330078,63.39157485961914,105.12000274658203,19.682037353515625,130.4441680908203,110.26000213623047,142.68820190429688
2010-02-11,81.1265640258789,37.951690673828125,48.72338104248047,66.92548370361328,56.97007369995117,63.314125061035156,107.12999725341797,19.673683166503906,129.99679565429688,110.58999633789062,143.71707153320312
2010-02-12,81.05904388427734,38.02989196777344,49.07725524902344,66.93839263916016,57.204734802246094,63.46198272705078,107.04000091552734,19.74051284790039,129.31155395507812,110.22000122070312,143.46900939941406
