seed,test_period,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,final_portfolio_value,cumulative_trading_days
0,2019-01-01 to 2024-12-31,0.30790382941162764,0.0459710651300651,0.07406639895732285,0.29378982001665965,0.4230287217249152,-0.1793754032524633,1312176.008119273,1505
25,2019-01-01 to 2024-12-31,0.3087862999211073,0.04608920218854262,0.07404965337225505,0.29545163388474144,0.4253076425378235,-0.18115147363776912,1313073.3927594582,1505
50,2019-01-01 to 2024-12-31,0.30822021826057555,0.04601342799659913,0.07401022972578361,0.2945851805387999,0.42384052340399603,-0.17932867380954326,1312521.9124523317,1505
75,2019-01-01 to 2024-12-31,0.30721941745155457,0.04587939663223106,0.07397517398053648,0.29291293761365217,0.42250025619975373,-0.1821977758850693,1311478.113590408,1505
100,2019-01-01 to 2024-12-31,0.307164694183786,0.04587206540383404,0.07373839661274022,0.2937540723387581,0.42270661603759474,-0.1787721401496531,1311420.9124735633,1505
