date,asset_0,asset_1,asset_2,asset_3,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2021-01-05,0.4363741,0.16053306,0.16053306,0.2425598,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-06,0.10923182,0.29692248,0.2969229,0.2969228,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-07,0.13446721,0.13449319,0.36551982,0.3655198,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-08,0.3319244,0.14321318,0.14321275,0.3816497,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-11,0.17487769,0.17487769,0.47536686,0.1748778,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-12,0.1344707,0.3655293,0.3655293,0.1344707,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-13,0.1344707,0.3655293,0.3655293,0.1344707,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-14,0.10925059,0.2969739,0.2969739,0.29680163,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-15,0.13449389,0.36541995,0.36559233,0.13449389,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-19,0.17522039,0.47516945,0.17480518,0.17480506,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-20,0.1748907,0.17487495,0.47535944,0.17487495,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-21,0.1344707,0.3655293,0.3655293,0.1344707,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-22,0.29692274,0.10923177,0.29692274,0.29692274,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-25,0.36482292,0.1342116,0.36482498,0.13614058,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-26,0.37002143,0.13612327,0.1408178,0.35303748,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-27,0.36552712,0.13447115,0.13447122,0.36553052,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-28,0.3655293,0.1344707,0.1344707,0.3655293,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-29,0.29692274,0.10923177,0.29692274,0.29692274,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-01,0.11406275,0.3100547,0.2658278,0.31005472,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-02,0.13447082,0.13447103,0.3655291,0.3655291,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-03,0.13441408,0.36537373,0.13483687,0.36537534,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-04,0.1344707,0.1344707,0.3655293,0.3655293,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-05,0.1344707,0.3655293,0.3655293,0.1344707,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-08,0.1344707,0.3655293,0.3655293,0.1344707,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-09,0.1748777,0.47536692,0.1748777,0.1748777,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-10,0.3655293,0.3655293,0.1344707,0.1344707,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-11,0.36141494,0.36736652,0.13514659,0.13607195,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-12,0.1344707,0.3655293,0.1344707,0.3655293,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-16,0.17908095,0.46275726,0.17908095,0.17908095,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-17,0.36297116,0.13501288,0.13501288,0.36700305,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-18,0.47536692,0.1748777,0.1748777,0.1748777,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-19,0.1344707,0.1344707,0.36552927,0.3655293,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-22,0.1092855,0.29706883,0.29705304,0.29659262,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-23,0.19409499,0.19248843,0.42092815,0.19248843,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-24,0.1344707,0.1344707,0.3655293,0.3655293,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-25,0.14181466,0.3840861,0.33280167,0.14129753,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-26,0.13341136,0.36264968,0.14128923,0.36264968,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-01,0.1344707,0.3655293,0.3655293,0.1344707,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-02,0.1344707,0.3655293,0.3655293,0.1344707,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-03,0.3655293,0.1344707,0.3655293,0.1344707,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-04,0.1344707,0.1344707,0.3655293,0.3655293,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-05,0.36540303,0.13476968,0.13442425,0.36540303,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-08,0.47536692,0.1748777,0.1748777,0.1748777,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-09,0.46817982,0.17666395,0.18155879,0.1735975,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
