date,asset_0,asset_1,asset_2,asset_3,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2021-03-19,0.25859222,0.24702303,0.25129595,0.24308878,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-22,0.26099473,0.24417537,0.25464576,0.24018417,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-23,0.2550721,0.24904557,0.25020656,0.24567583,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-24,0.25671974,0.24798833,0.25184813,0.24344374,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-25,0.2567892,0.24679695,0.25517508,0.24123882,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-26,0.23682518,0.25811633,0.26782003,0.23723838,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-29,0.25192046,0.24851309,0.26145852,0.23810792,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-30,0.25520077,0.25102052,0.25634143,0.23743726,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-31,0.25769714,0.24030313,0.26307604,0.23892364,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-01,0.2517557,0.24631736,0.25509733,0.2468296,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-05,0.25955933,0.2437519,0.25750878,0.23917994,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-06,0.2487727,0.24790393,0.2631373,0.24018604,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-07,0.25382364,0.24908464,0.25672054,0.24037117,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-08,0.25364503,0.2457273,0.24743986,0.2531878,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-09,0.22990768,0.25937226,0.26238605,0.24833405,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-12,0.24378619,0.24817267,0.25779557,0.25024557,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-13,0.2533069,0.2424114,0.26215804,0.24212368,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-14,0.25404227,0.24186678,0.25602773,0.24806325,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-15,0.25562704,0.23756127,0.2581535,0.24865815,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-16,0.2489882,0.25479254,0.24635342,0.24986587,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-19,0.26358792,0.23768952,0.26554045,0.2331821,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-20,0.27059573,0.23553564,0.2541296,0.2397391,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-21,0.26264173,0.24953465,0.25578704,0.23203652,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-22,0.24490352,0.24714887,0.26431227,0.24363531,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-23,0.25468507,0.25065243,0.25144657,0.24321595,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-26,0.25565398,0.25185198,0.2540632,0.23843081,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-27,0.24239545,0.25166795,0.26428744,0.24164915,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-28,0.25659043,0.25126177,0.2545075,0.23764026,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-29,0.25502935,0.24682923,0.25673783,0.24140364,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-30,0.24959132,0.25924826,0.2556786,0.23548189,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-03,0.24461262,0.2555167,0.25895756,0.2409131,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-04,0.24094252,0.26372263,0.2531885,0.24214634,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-05,0.247674,0.2525938,0.26559108,0.2341411,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-06,0.23803854,0.27039686,0.24539714,0.24616745,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-07,0.24143139,0.2614452,0.26324975,0.23387367,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-10,0.2577626,0.2428103,0.2637907,0.23563638,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-11,0.2513775,0.2518737,0.25400686,0.24274197,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-12,0.24968095,0.2477894,0.253876,0.24865365,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-13,0.25988972,0.23542258,0.26796758,0.23672013,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-14,0.2551649,0.24552205,0.25371185,0.24560122,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
