date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2020-01-03,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-06,689.6031521987761,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-07,1151.5488918949584,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-08,579.0108303541575,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-09,699.5655263266588,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-10,532.873090288865,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-13,767.6810132734422,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-14,942.5139554401154,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-15,491.11826409653196,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-16,1037.6337933713662,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-17,973.9053467447283,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-21,466.4852010856611,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-22,784.6588097461284,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-23,982.8549753399351,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-24,646.8364547660916,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-27,532.5822421360864,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-28,704.4415229439377,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-29,706.5224365509804,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-30,987.4160280832618,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-31,492.2667298979519,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-03,985.4549863894332,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-04,988.4427888199733,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-05,632.8655921797783,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
