date,turnover,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2020-01-03,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-06,0.2158427,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-07,0.29641014,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-08,0.26825845,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-09,0.28153646,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-10,0.091429204,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-13,0.17976695,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-14,0.3107881,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-15,0.34622625,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-16,0.5799436,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-17,0.37538195,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-21,0.31632468,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-22,0.74544764,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-23,0.5548942,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-24,0.51128113,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-27,0.48354673,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-28,0.33147466,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-29,0.51150036,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-30,0.48339346,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-31,0.7044978,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-03,0.6392063,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-04,0.3834248,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-05,0.4507338,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-06,0.7626064,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-07,0.4621172,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-10,0.6685339,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-11,0.29499832,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-12,0.4621172,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-13,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-14,0.4507338,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-18,0.60097843,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-19,0.35319087,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-20,0.2062856,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-21,0.71015525,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-24,0.5596021,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-25,0.3778087,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-26,0.3945994,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-27,0.32255685,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
