date,turnover,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2024-01-03,0.28102636,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-04,0.009492531,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-05,0.49600518,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-08,0.5595136,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-09,0.7303926,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-10,0.70992374,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-11,0.58050585,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-12,0.38126415,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-16,0.45751292,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-17,0.007812366,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-18,0.007781267,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-19,0.0077812076,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-22,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-23,0.4621172,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-24,0.4621172,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-25,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-26,0.42367563,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-29,0.33062765,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-30,0.6467321,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-31,0.46057913,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-01,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-02,0.4621172,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-05,0.9242344,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-06,0.3813032,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-07,0.7626064,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-08,0.022188723,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-09,0.45741448,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-12,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-13,0.46211708,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-14,0.49428797,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-15,0.49391836,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-16,0.3802693,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-20,0.76260096,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-21,0.40309197,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-22,0.5327646,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-23,0.32541484,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-26,0.38130322,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-27,0.76254857,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-28,0.381355,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-29,0.7625162,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-01,0.36965764,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-04,0.105970986,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-05,0.73227024,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-06,1.0505319e-05,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-07,0.3812927,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-08,0.64980036,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-11,0.32489052,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-12,0.7626095,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-13,0.7625996,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-14,0.3236816,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-15,0.32368279,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-18,0.76643425,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-19,0.009030521,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-20,0.73227024,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-21,0.64980817,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-22,0.64980817,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-25,0.32490408,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-26,0.76260644,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-27,0.38130355,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-28,0.38130355,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-01,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-02,5.438924e-06,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-03,0.60097677,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-04,0.6861964,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-05,0.6861964,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-08,0.76260626,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-09,0.4621172,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-10,0.9242344,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-11,0.7626064,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-12,0.7420947,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-15,0.47605884,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-16,0.38130322,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-17,0.73227024,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-18,0.32492167,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-19,0.38125533,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-22,0.60097843,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-23,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-24,0.7626062,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-25,2.8312206e-07,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-26,0.4408787,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-29,0.43876675,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-30,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-01,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-02,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-03,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-06,0.60097843,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-07,0.4881802,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-08,0.32989338,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-09,0.36797655,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-10,0.35438293,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-13,0.35526326,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-14,0.3800444,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-15,0.32494867,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-16,0.000711821,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-17,0.3247204,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-20,0.45883408,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-21,0.7563052,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-22,0.382218,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
